dayzer_bus,pano_bus,dayzer_bus_id,pano_bus_id,dayzer_kv,pano_kv,distance_km,name_score,voltage_score,topology_score,composite_score,confidence_label,ambiguity_flag,score_gap_to_second_best,degree_dayzer,degree_pano,neighbor_voltage_overlap,neighbor_token_overlap
SNDSW2_1,,1_5434,,1.0,13.8,21.710290288552944,0.5325,0.65,0.26666666666666666,0.4502767259139176,ambiguous,True,0.015693810736591762,3,1,0.3333333333333333,0.0
POSKINGDOM_8,,1_2176,,138.0,138.0,,0.34619565217391307,1.0,0.5666666666666667,0.4498822463768116,ambiguous,True,0.006020066889632136,2,2,0.3333333333333333,0.0
RHINESLAKE_8,,1_2497,,138.0,138.0,,0.34619565217391307,1.0,0.5666666666666667,0.4498822463768116,ambiguous,True,0.006020066889632136,2,2,0.3333333333333333,0.0
IRELAND_8,,1_996,,138.0,138.0,,0.34619565217391307,1.0,0.5666666666666667,0.4498822463768116,ambiguous,True,0.007173913043478308,2,2,0.3333333333333333,0.0
RAILROAD_DC,,1_10764,,138.0,138.0,,0.46249999999999997,1.0,0.42000000000000004,0.449625,ambiguous,True,0.019000000000000017,9,5,0.4,0.15
SANDLK_A_1,,1_5456,,1.0,138.0,2.261400931730667,0.3096153846153846,0.0,0.52,0.44933027619947497,ambiguous,True,0.026711147461283946,3,3,0.2,0.0
ENPRSMENT1_8,,1_10622,,138.0,138.0,,0.34326923076923077,1.0,0.5666666666666667,0.449150641025641,ambiguous,True,0.005518394648829417,2,2,0.3333333333333333,0.0
PROLINA_P8,,1_10754,,138.0,138.0,,0.15652173913043477,1.0,0.8,0.4491304347826087,ambiguous,True,0.027246376811594197,3,3,1.0,0.0
PORTILLA4A,,1_10788,,138.0,138.0,,0.15652173913043477,1.0,0.8,0.4491304347826087,ambiguous,True,0.026086956521739146,2,2,1.0,0.0
WATMLL_2T5,,1_10792,,345.0,345.0,,0.15652173913043477,1.0,0.8,0.4491304347826087,ambiguous,True,0.040000000000000036,3,3,1.0,0.0
ROUNDUP_P8,,1_5240,,138.0,138.0,,0.15652173913043477,1.0,0.8,0.4491304347826087,ambiguous,True,0.004515050167224088,1,1,1.0,0.0
MOCKNBRD_8,,1_10706,,138.0,138.0,,0.33749999999999997,1.0,0.5666666666666667,0.4477083333333333,ambiguous,True,0.0071428571428571175,2,2,0.3333333333333333,0.0
SHALLION_8,,1_2486,,138.0,138.0,,0.33749999999999997,1.0,0.5666666666666667,0.4477083333333333,ambiguous,True,0.0071428571428571175,2,2,0.3333333333333333,0.0
LAWNDALE_8,,1_2492,,138.0,138.0,,0.33749999999999997,1.0,0.5666666666666667,0.4477083333333333,ambiguous,True,0.0071428571428571175,2,2,0.3333333333333333,0.0
SCENIC_LOOP,,1_2615,,138.0,138.0,,0.15,1.0,0.8,0.4475,ambiguous,True,0.012499999999999956,2,2,1.0,0.0
PRAIRILND_8,,1_5215,,138.0,138.0,,0.15,1.0,0.8,0.4475,ambiguous,True,0.015549242424242438,3,3,1.0,0.0
PHEASANT_P8,,1_5242,,138.0,138.0,,0.15,1.0,0.8,0.4475,ambiguous,True,0.004166666666666652,1,1,1.0,0.0
PALMITO138,,1_10734,,138.0,138.0,,0.3358695652173913,1.0,0.5666666666666667,0.44730072463768117,ambiguous,True,0.0,2,2,0.3333333333333333,0.0
WALSW_IL,,1_10537,,138.0,138.0,,0.11428571428571427,1.0,0.8400000000000001,0.4465714285714286,ambiguous,True,0.008000000000000007,1,1,1.0,0.2
MSQTN1_8,,1_10703,,138.0,138.0,,0.33068181818181813,1.0,0.5666666666666667,0.44600378787878786,ambiguous,True,0.0071770334928229484,2,2,0.3333333333333333,0.0
ZOIPOI_IL,,1_10536,,345.0,345.0,,0.144,1.0,0.8,0.446,ambiguous,True,0.008727272727272695,1,1,1.0,0.0
FRANZ09B8_IL,,1_10540,,138.0,138.0,,0.144,1.0,0.8,0.446,ambiguous,True,0.0,1,1,1.0,0.0
PGASUSTAP_T8,,1_5244,,138.0,138.0,,0.144,1.0,0.8,0.446,ambiguous,True,0.02300000000000002,3,3,1.0,0.0
RAOULT_X86B8,,1_6138,,138.0,138.0,,0.144,1.0,0.8,0.446,ambiguous,True,0.0,2,2,1.0,0.0
DURZNO_X54T8,,1_6311,,138.0,138.0,,0.144,1.0,0.8,0.446,ambiguous,True,0.0,2,2,1.0,0.0
ORCHRD_S60B8,,1_6395,,138.0,138.0,,0.144,1.0,0.8,0.446,ambiguous,True,0.0,2,2,1.0,0.0
SHPFIELD1_9,,1_10610,,69.0,69.0,,0.34199999999999997,1.0,0.5515151515151515,0.4458030303030303,ambiguous,True,0.01910431235431237,2,3,0.6666666666666666,0.09090909090909091
CENTRALIA_8,,1_10606,,138.0,138.0,,0.3295,1.0,0.5666666666666667,0.4457083333333333,ambiguous,True,0.007090909090909092,2,2,0.3333333333333333,0.0
ROCKYSPGS_8,,1_2214,,138.0,138.0,,0.3295,1.0,0.5666666666666667,0.4457083333333333,ambiguous,True,0.007090909090909092,2,2,0.3333333333333333,0.0
LAURELES_IL,,1_10535,,138.0,138.0,,0.46249999999999997,1.0,0.4,0.445625,ambiguous,True,0.0022916666666666363,1,2,0.5,0.0
6812,,1_10678,,138.0,138.0,,0.1411764705882353,1.0,0.8,0.44529411764705884,ambiguous,True,0.0,1,1,1.0,0.0
KELAM_SL_S1,,1_8368,,34.5,138.0,1.6962978219048355,0.22499999999999998,0.0,0.5666666666666667,0.44518803081591934,ambiguous,True,0.11777419214919854,2,2,0.3333333333333333,0.0
STRIPE_8,,1_4612,,138.0,138.0,,0.3269736842105263,1.0,0.5666666666666667,0.4450767543859649,ambiguous,True,0.006459330143540665,2,2,0.3333333333333333,0.0
ELTRUENO_W2,,1_9887,,34.5,1.0,18.904979041782212,0.1636363636363636,0.65,0.625,0.44498393701535316,ambiguous,True,0.024101097891686407,3,3,0.5,0.0
FEGC_8B,,1_8032,,138.0,138.0,,0.4414473684210526,1.0,0.4222222222222222,0.44480628654970755,ambiguous,True,0.038730158730158726,4,2,0.5,0.1111111111111111
BELLS1_9,,1_10567,,69.0,69.0,,0.29818840579710143,1.0,0.6,0.44454710144927534,ambiguous,True,0.031417231319405214,4,3,0.75,0.0
FALFUR4A_IL,,1_10538,,138.0,138.0,,0.13333333333333333,1.0,0.8,0.44333333333333336,ambiguous,True,0.008333333333333304,1,1,1.0,0.0
PRNGMOSS1_8,,1_5219,,138.0,138.0,,0.4125,1.0,0.45,0.44312500000000005,ambiguous,True,0.012500000000000011,1,1,0.0,0.0
GODDARD_8,,1_10640,,138.0,138.0,,0.3175,1.0,0.5666666666666667,0.4427083333333333,ambiguous,True,0.005869565217391293,2,2,0.3333333333333333,0.0
LIQDAIR_8,,1_10683,,138.0,138.0,,0.3175,1.0,0.5666666666666667,0.4427083333333333,ambiguous,True,0.005869565217391293,2,2,0.3333333333333333,0.0
SECOSUB8,,1_2857,,138.0,138.0,19.297858642328517,0.09999999999999999,1.0,0.26666666666666666,0.4426405312297319,ambiguous,True,0.004982639828800484,1,3,0.3333333333333333,0.0
