dayzer_bus,pano_bus,dayzer_bus_id,pano_bus_id,dayzer_kv,pano_kv,distance_km,name_score,voltage_score,topology_score,composite_score,propagation_score,propagation_consistency_score,propagation_support_count,propagation_support_ratio,propagation_score_gap,match_stage,propagation_iteration,accepted_graph_match,one_to_one_conflict_flag,confidence_label,ambiguity_flag,score_gap_to_second_best,degree_dayzer,degree_pano,neighbor_voltage_overlap,neighbor_token_overlap
TOPEKA1_5,,1_5011,,345.0,345.0,4.857143752084209,0.2136363636363636,1.0,0.26666666666666666,0.5920574818814821,0.7072813869546671,0.825,1,1.0,0.13902316551966987,one_to_one_conflict,-1,False,True,ambiguous,True,,2,6,0.3333333333333333,0.0
MCLNSLR_8,,1_9885,,138.0,138.0,0.5905951529693311,0.144,1.0,0.26666666666666666,0.6306039289687342,0.7056348288574886,0.72,1,1.0,0.2662884653979282,one_to_one_conflict,-1,False,True,ambiguous,True,0.020400646386011356,2,6,0.3333333333333333,0.0
CENIZO7C,,1_7533,,345.0,345.1,0.051198609154464184,0.3272727272727272,0.65,0.4,0.6235511848292012,0.705456853077025,0.7375,1,1.0,0.135893310611521,one_to_one_conflict,-1,False,True,ambiguous,True,,2,4,0.5,0.0
NEWGLF04TP_8,,1_6735,,138.0,138.0,6.871508538452473,0.1636363636363636,1.0,0.5333333333333333,0.6103447528032846,0.7041148886850317,0.7666666666666667,1,1.0,0.0013064184059223827,one_to_one_conflict,-1,False,True,ambiguous,True,,2,3,0.6666666666666666,0.0
CACTSFLT_SC1,,1_10129,,13.8,1.0,1.2374155682298995,0.44999999999999996,0.65,0.26666666666666666,0.6103346376728088,0.7041076057910891,0.7666666666666667,1,1.0,0.14095635875010293,one_to_one_conflict,-1,False,True,ambiguous,True,,1,3,0.3333333333333333,0.0
ZENITH__B345,,1_6443,,345.0,345.0,19.22162921858057,0.29318181818181815,1.0,0.4,0.5180391623772252,0.7039881969116022,0.825,2,1.0,0.30179530221214995,one_to_one_conflict,-1,False,True,ambiguous,True,,8,4,0.5,0.0
VAL_STH_5,,1_1049,,345.0,345.0,7.662101302975982,0.21818181818181817,1.0,0.6833333333333333,0.6457345016947116,0.7039288412201924,0.675,1,0.5,0.34978964067770024,one_to_one_conflict,-1,False,True,ambiguous,True,0.15387450094125021,5,5,0.6666666666666666,0.0
LIBERTY,,1_7271,,345.0,345.0,16.3254687752122,0.10434782608695652,1.0,0.54,0.516709760132188,0.7020310272951753,1.0,1,1.0,0.0018715484604304722,one_to_one_conflict,-1,False,True,ambiguous,True,,3,3,0.2,0.1
CROSSSUB8,,1_2794,,138.0,138.0,7.087877750618113,0.15,1.0,0.5333333333333333,0.6046462352658817,0.7000119560581015,0.7666666666666667,1,1.0,0.19678447976545388,one_to_one_conflict,-1,False,True,ambiguous,True,0.0670853752602889,2,3,0.6666666666666666,0.0
WELLINGTON,,1_272,,138.0,138.0,6.281601477965558,0.10434782608695652,1.0,0.5333333333333333,0.6018917836869037,0.6980287509212374,0.7666666666666667,1,1.0,0.1974420433795272,one_to_one_conflict,-1,False,True,ambiguous,True,,2,3,0.6666666666666666,0.0
ROYSE1_T5,,1_1581,,345.0,345.0,6.594538569188666,0.2681818181818182,1.0,0.34285714285714286,0.6013529064719374,0.6976407593264616,0.7666666666666667,1,1.0,0.2744063496860646,one_to_one_conflict,-1,False,True,ambiguous,True,0.013527337526941463,3,7,0.42857142857142855,0.0
JAGUAR4A,,1_4296,,138.0,138.0,0.12597753734019468,0.19999999999999998,1.0,0.5333333333333333,0.7047829425080194,0.697443718605774,0.5,1,0.5,0.19761374605474397,one_to_one_conflict,-1,False,True,ambiguous,True,0.026273216446286662,2,3,0.6666666666666666,0.0
BR_STR56,,1_2517,,1.0,20.0,4.297357596280733,0.1636363636363636,0.65,0.29523809523809524,0.504451112243337,0.6932048008152027,1.0,1,1.0,0.19062062050030804,one_to_one_conflict,-1,False,True,ambiguous,True,,3,1,0.3333333333333333,0.14285714285714285
