market_constraint,dayzer_constraint,pano_constraint,pano_confidence,dayzer_confidence,pano_score,dayzer_score,pano_ambiguous,dayzer_ambiguous
FREMNT  138 KV  FRE-WFR1,FREMNT_138 KV_FRE-WFR1:ACTUAL,WFREMONT 138KV - FREMNT 138KV (FREMNT 138 KV FRE-WFR1),medium,medium,0.5917,0.6119,True,False
PA-CENT CONTINGENCY 1,TRANSFER INTERFACE: PA-CENT:L500.ALBURTIS-JUNIATA.5009,PA-CENT contingency 2,medium,low,0.6333,0.25,True,True
74 KEWAN B1Z1 DIS             138 KV,74 KEWAN_138 KV_L9430:ACTUAL,74 KEWAN B1Z5 DIS              138 KV,high,low,0.8083,0.3167,False,True
SUB85_SUB18_161_FLO_OAKGROVE_LOUISA_345,DAVNPRT6_161 KV_62211622:L345.Oakgrove-Louisa (MEC),SB 71  6 161KV - SB 88  6 161KV (SB 71  6 161 KV 62230622),low,low,0.2786,0.24,True,True
POWERTON-TOWERLINE 138 KV L/O FARGO-SANDBURG 345 KV,81 TOULO_138 KV_0321X:Sandburg-Fargo 345 kV,LTVSteel - Hennepin 138 kV l/o Powerton - Towerline 138 kV,low,low,0.45,0.3722,True,False
12 DRESDEN 45TR81 CT H 345 KV,93 LORET_345 KV_11212:12 DRESDEN TR83 R,12 DRESDEN  45TR81 CT       H  345 KV,high,low,0.7964,0.3083,False,True
KINGSTON69 KV   KST-WOR,KINGSTON_69 KV_KST-WOR:ACTUAL,WOVERDPL 69KV - KINGSTON 69KV (KINGSTON 69 KV KST-WOR),medium,medium,0.4545,0.4929,False,False
SHADELAND-LAFAYETTE SOUTH 13808 L/O WESTWOOD-NW TAP 13806,AP SOUTH for l/o Dooms-Valley:L500.Dooms-Valley.549,Northwest Tap - Purdue 138 kV l/o Westwood - W Lafayette 138 kV,medium,low,0.5357,0.161,True,True
WHITESTN 115 KV WHITESTN-HARMONYV 65A,CLBHOUSE115 KV 71E Belmont-Pleasants #1 line,WHITESTN-HARMONYV 65A       B  115 KV,high,low,0.8952,0.1786,False,True
JUNIATA 2 XFORMER H 500 KV,JUNIATA_500 KV_2:ACTUAL,JUNIATA  1        XFORMER   H  500 KV,high,low,0.8357,0.35,False,True
GARRETAP-GARRETT B 115 KV,GARRETAP_115 KV_GAR-GAR:ACTUAL,GARRETAP 115KV - GARRETT 115KV (GARRETAP 115 KV GAR-GAR),medium,medium,0.605,0.4857,True,False
MEHOOPAN115 KV  MEH-NME1,MEHOOPAN_115 KV_MEH-NME1:ACTUAL,MEHOOPAN 115KV - NMESHOPP 115KV (MEHOOPAN 115 KV MEH-NME1),medium,low,0.69,0.4357,False,True
GRACETON230 KV  GRA-MANO,GRACETON_230 KV_GRA-MANO:500/230.Conastone.500-2,GRACETON230 KV  GRA-SAF,high,medium,0.7376,0.4643,True,True
NOTTINGH 230 KV NOTTINGHM 2-3 SER DEV,NOTTINGHM 2-3 SER DEV A 230 KV:TEMP.DBL.500/230.CONASTONE.500-4 + Peach Bot - Conaston,NOTTINGHM 1-3 SER DEV       A  230 KV,high,low,0.855,0.4412,True,False
CONASTON-PEACHBOT 5012 A 500 KV,CONASTON_500 KV_CNS-PEA:ACTUAL,PEACHBOT 500KV - CONASTON 500KV (CONASTON 500 KV CNS-PEA),medium,medium,0.6333,0.5278,True,True
