market_constraint,dayzer_constraint,pano_constraint,pano_confidence,dayzer_confidence,pano_score,dayzer_score,pano_ambiguous,dayzer_ambiguous
MIDDLETO 138 KV MIDDLETO-MTPLEASN 13808-2,MIDDLETO_138 KV_MID-MTP:ACTUAL,MTPLEASN 138KV - MIDDLETO 138KV (MIDDLETO 138 KV MID-MTP),high,medium,0.8769,0.5033,True,True
KAMMER2 765 KV  400,KAMMER2_765 KV_400:ACTUAL,KAMMER2 765KV - KAMMER2 345KV (KAMMER2 765 KV 400),high,medium,0.7,0.4833,True,False
MAKAHOY 138 KV  MAK-STR,MAKAHOY_138 KV_MAK-STR:ACTUAL,STRAWTON 138KV - MAKAHOY 138KV (MAKAHOY 138 KV MAK-STR),high,medium,0.8417,0.6008,False,False
LAKIN 138 KV LAKIN-GAVINAEP,LAKIN_138 KV_LAK-GAV1:ACTUAL,LAKIN 138KV - GAVINAEP 138KV (LAKIN 138 KV LAK-GAV1),high,medium,0.9172,0.525,False,False
MILLBROO138 KV  MIL-SIN1,MILLBROO_138 KV_MIL-SIN1:ACTUAL,MILLBROO 138KV - SINKINGS 138KV (MILLBROO 138 KV MIL-SIN1),medium,low,0.6944,0.4357,False,False
LENOX   115 KV  LEN-MAC,LENOX_115 KV_LEN-MAC:ACTUAL,LENOX 115KV - MACNEW_T 115KV (LENOX 115 KV LEN-MAC),high,medium,0.8061,0.6008,False,False
WEFOSTOR138 KV  WES-WOOD,WEFOSTOR_138 KV_WES-WOOD:345/138.FostoriaCentral.T1,WOODVLTE 138KV - WEFOSTOR 138KV (WEFOSTOR 138 KV WES-WOOD),high,low,0.7045,0.4286,False,True
N LAKE GENEVA TAP BURLINGTON 138KV FLO UNIVERSITY MUKWONAGO 138,BRLGTN43_138 KV_39267393:University-Mukwonago 138kV,NLK GV 3 138KV - BRLGTN43 138KV (BRLGTN43 138 KV 39267393),medium,low,0.4769,0.3808,False,False
COLONIAL 115 KV COL.PIPE-GLENARM1 110511,COLONIAL_115 KV_COL-GLE1:ACTUAL,COLONIAL115 KV  COL-GLE1,high,low,0.7376,0.45,True,True
MIDDLETO 138 KV MIDDLETO-MTPLEASN 13808-2,MIDDLETO_138 KV_MID-MTP:ACTUAL,MTPLEASN 138KV - MIDDLETO 138KV (MIDDLETO 138 KV MID-MTP),high,medium,0.8769,0.5033,True,True
DIMMICK 138 KV  08D-POR1,DIMMICK_138 KV_08D-POR1:ACTUAL,PORTUNIO 138KV - DIMMICK 138KV (DIMMICK 138 KV 08D-POR1),medium,medium,0.5821,0.6186,True,False
BUTL APS 138 KV BUTL APS-KARNSCIT KC-BT,BUTL APS_138 KV_BUT-KAR:ACTUAL,BUTL APS 138KV - KARNSCIT 138KV (BUTL APS 138 KV BUT-KAR),high,medium,0.8321,0.4885,False,True
STAFFORD 230 KV 2104B,STAFFORD_230 KV_2104B:ACTUAL,STAFFORD230 KV  2104B,medium,medium,0.59,0.5233,False,False
GORDONSV230 KV  TX1,SADDLEBR_230 KV_TX1:ACTUAL,GORDONSV 230KV - GORDONSV 115KV (GORDONSV 230 KV TX1),medium,low,0.6,0.35,False,True
GRANDVIE_115KVGRA-HAY_1_LN,GRANDVIE_115 KV_GRA-HAY:L115.Eclipse-Piney.1038,HAYNIE 115KV - GRANDVIE 115KV (GRANDVIE 115 KV GRA-HAY),medium,low,0.4722,0.2,True,True
TODD 69 KV TODD-VIENNALO 6702-1,TODD_69 KV_TOD-VNL:L138.Steele-Easton.13712,TODD    69 KV   TOD-VNL,high,medium,0.8952,0.4722,True,True
QUARRY_69KVQUA-SFA_1_LN,QUARRY_69 KV_QUA-SFA:L500.Hosensack-SteelCity.5032,QUARRY 69KV - SFARMERS 69KV (QUARRY 69 KV QUA-SFA),medium,low,0.4722,0.2,False,True
111_ELEC_T7_345TR81CT-P_XF,111 ELEC_345 KV_TR83CT-P:ACTUAL,111 ELEC 345KV - 111 ELEC 1KV (111 ELEC 345 KV TR81CT-P),medium,low,0.6286,0.3722,False,True
CARLOJCT 138 KV CARLOJCT-RIDGELEY AR3,CARLOJCT_138 KV_CAR-GAR:ACTUAL,CARLOJCT138 KV  CAR-RID,high,low,0.7879,0.35,False,True
JORDAN - W FRANKFORT E 138 KV L/O W FRANKFORT E - MT VERNON 345 KV,E W FKF3_138 KV_EWF-JORD:Mt Vernon-EWFKF3 345 kV,W Frankfort W Frankfort E 138kV l/o West Frankfort E Mt Vernon 345kV,high,low,0.775,0.4167,False,False
BUTL_APS_138KVBUT-KAR_1_LN,BUTL APS_138 KV_BUT-KAR:ACTUAL,BUTL APS 138KV - KARNSCIT 138KV (BUTL APS 138 KV BUT-KAR),medium,low,0.5449,0.3,False,True
CLIFTON 500 KV  TX2,CLIFTON_500 KV_TX2:L500.Loudoun-Morrisville.569,CLIFTON 500KV - CLIFTON 230KV (CLIFTON 500 KV TX2),high,low,0.8,0.4357,False,True
PLUM    138 KV  PLU-UNI,PLUM_138 KV_PLU-UNI:ACTUAL,PLUM 138KV - UNIVERSA 138KV (PLUM 138 KV PLU-UNI),high,medium,0.8417,0.6008,False,False
SHAWVILL 230 KV SHAWVILL BNK 2A-P XFORMER,SHAWVILL_230 KV_BNK 2A-P:Actual,SHAWVILL 230KV - SHAWVILL 1KV (SHAWVILL 230 KV BNK 2A-P),high,medium,0.8083,0.5136,False,True
BRIGHTON500 KV  BRI-WAU,BRIGHTON_500 KV_BRI-WAU:ACTUAL,BRIGHTON 500KV - WAUGHCHA 500KV (BRIGHTON 500 KV BRI-WAU),high,medium,0.7045,0.4607,False,False
FRANKLIN 115 KV FRANKLIN-WWHARTON J932-1,FRANKLIN_115 KV_FRA-WWHJ:ACTUAL,WWHARTON 115KV - FRANKLIN 115KV (FRANKLIN 115 KV FRA-WWHJ),medium,medium,0.597,0.4944,True,False
POLANDRD230 KV  2183A,POLANDRD_230 KV_2183A:500/230.PleasantView.T3,BRAMBLET 230KV - POLANDRD 230KV (POLANDRD 230 KV 2183A),medium,low,0.5952,0.3167,False,True
HOMERCIT345 KV  HOM-MAI,HOMERCIT_345 KV_HOM-MAI:ACTUAL,HOMERCIT345 KV  HOM-MAI,high,medium,0.8211,0.4579,False,False
CEDARCRE230 KV  AT20,CEDARCRE_230 KV_AT20:ACTUAL,MILFORD 230 KV  AT20,medium,low,0.6467,0.35,True,True
171 WEMPLETOWN TR84 L/O CHERRY VALLEY-15622-SABROOKE.15622 138KV,156 CHER_138 KV_15623 1:138L15622 Cherry Valley-15622-Sabrooke 138 kV Line,Wempletown 345/138 kV TR84 l/o Byron-Cherry Valley 0621 345 kV,medium,low,0.6179,0.4,False,True
PLEASNT 138 KV PLEASNT -STMARYS STM-PLE,PLEASNT_138 KV_STM-PLE:ACTUAL,PLEASNT 138KV - STMARYS 138KV (PLEASNT 138 KV STM-PLE),high,medium,0.9214,0.545,False,True
CARLYLES230 KV  CAR-NRTH,CARLYLES_230 KV_CAR-NRTH:L500.Clifton-Ox.561+500/230.Clifton.TX2,CARLYLES 230KV - NRTHALEX 230KV (CARLYLES 230 KV CAR-NRTH),high,low,0.7045,0.3786,False,True
MAHANSLA_138KVMAH-TID_1_LN,MAHANSLA_138 KV_MAH-TID:ACTUAL,TIDD_AEP 138KV - MAHANSLA 138KV (MAHANSLA 138 KV MAH-TID),medium,low,0.45,0.25,False,True
12 DRESDEN 45TR81 CT H 345 KV,12 DRESD_345 KV_TR81CT-P:L345.12 Dresden-900 Elwood.1220,1 LASALL345 KV  TR81CT-P,medium,low,0.625,0.3808,True,True
WHITAKER115 KV  1001B,WHITAKER_115 KV_1001B:ACTUAL,WHITAKER 115KV - CONSLDSL 115KV (WHITAKER 115 KV 1001B),medium,low,0.5952,0.35,False,False
BUNSONVILLE-EUGENE TIE 345KV L/O RUBY-KANSAS 345KV,EUGENE_345 KV_EUG-BUN1:L345.Ruby-Kansas,BUNSONV3 345KV - EUGENE 345KV (EUGENE 345 KV EUG-BUN1),medium,low,0.5889,0.3808,False,True
JOHNSOFE138 KV  JOH-LAK2,JOHNSOFE_138 KV_JOH-LAK2:Carlisle (FE) 345/138 kV Transformer,JOHNSOFE138 KV  JOH-02L1,high,low,0.8,0.4008,False,True
MASURY  138 KV  MAS-CRO1,MASURY_138 KV_MAS-CRO1:L345.Niles-Shenango,CROSSFE 138KV - MASURY 138KV (MASURY 138 KV MAS-CRO1),high,medium,0.835,0.4833,False,True
MIDDLJCT 115 KV MIDDLJCT-YORKHAVE 977-1,MIDDLJCT_115 KV_MID-YOR7:ACTUAL,MIDDLJCT 115KV - YORKHAVE 115KV (MIDDLJCT 115 KV MID-YOR7),high,medium,0.8615,0.4833,False,True
LIMERICK500 KV  LIM 4B-P,LIMERICK_500 KV_LIM 4B-P:L500.Limerick-Whitpain.5031+500/230.Whitpain.500-2,LIMERICK 1KV - LIMERICK 500KV (LIMERICK 500 KV LIM 4B-P),high,low,0.7857,0.45,True,True
NEWCARLI-PLETCHER NEW-PLE   A  138 KV,NEWCARLI_138 KV_NEW-PLE:ACTUAL,NEWCARLI 138KV - PLETCHER 138KV (NEWCARLI 138 KV NEW-PLE),high,medium,0.9214,0.545,False,True
SCOTTSVI 138 KV SCOTTSVI-BREMO_VP,SCOTTSVI_138 KV_SCO-BRE1:BREMO 230/115 TX#9,SCOTTSVI138 KV  SCO-BRE1,medium,medium,0.5405,0.5136,True,True
AEP-DOM CONTINGENCY 43,AEP-DOM contingency 17 Amos.U1U2U3,AEP-DOM contingency 22,high,low,0.7238,0.4321,True,True
CARL_PN_115KVCAR-GAR_1_LN,CARL PN_115 KV_CAR-GAR:ACTUAL,GARDNERS 115KV - CARL PN 115KV (CARL PN 115 KV CAR-GAR),medium,low,0.5227,0.3,False,True
50045005 43,,WESCOSVI 500KV - WESCOSVI 138KV (WESCOSVI 500 KV 3),low,low,0.25,0.0,True,True
KENTN_LG138 KV  SPU-KENT,KENTN_LG_138 KV_SPU-KENT:L345.Spurlock - NorthClark (EKPC),SPURLOCK 138KV - KENTN_LG 138KV (KENTN_LG 138 KV SPU-KENT),high,medium,0.78,0.45,True,False
SPRINGCR 138 KV SPRINGCR-WOLFHILL,SPRINGCR138 KV SPR-WOL2 VirginiaCity.U1,WOLFHILL 138KV - SPRINGCR 138KV (SPRINGCR 138 KV SPR-WOL2),high,medium,0.8714,0.4864,False,True
HOOVERSV 115 KV HOOVERSV-TOWER51 H1H2 1071,HOOVERSV_115 KV_HOO-TOW:ACTUAL,TOWER51 115KV - HOOVERSV 115KV (HOOVERSV 115 KV HOO-TOW),high,medium,0.8208,0.4667,False,True
BAIR 115 KV BAIR-JACK ME 969-2,BAIR_115 KV_BAI-JAC:ACTUAL,JACK ME 115KV - BAIR 115KV (BAIR 115 KV BAI-JAC),high,medium,0.9403,0.5033,False,True
CONC BC 115 KV  CON-MON3,CONC BC_115 KV_CON-MON3:ACTUAL,MONUMEST 115KV - CONC BC 115KV (CONC BC 115 KV CON-MON3),high,medium,0.8667,0.6167,False,False
BUCKSKIN69 KV   BUC-GRE1,BUCKSKIN_69 KV_BUC-GRE1:ACTUAL,BUCKSKIN 69KV - GREENFIE 69KV (BUCKSKIN 69 KV BUC-GRE1),medium,low,0.6944,0.4357,False,True
COLLINSV 138 KV COLLINSV-HUSTON 3281,COLLINSV_138 KV_HUS-COL:ACTUAL,COLLINSV 138KV - HUSTON 138KV (COLLINSV 138 KV HUS-COL),medium,medium,0.6333,0.5278,True,False
ALLLUD4J 138 KV ALLLUD4J-ALLDAM6 ALJ-ALL,ALLLUD4J_138 KV_ALJ-ALL:ACTUAL,ALLDAM6 138KV - ALLLUD4J 138KV (ALLLUD4J 138 KV ALJ-ALL),high,medium,0.86,0.5056,False,True
CARS DUQ345 KV  CAR-TEC,CARS DUQ_345 KV_CAR-TEC:ACTUAL,TECUMSEH 345KV - CARS DUQ 345KV (CARS DUQ 345 KV CAR-TEC),medium,medium,0.5269,0.55,False,False
BROADFO2138 KV  BRO-SAL1,BROADFO2138 KV BRO-SAL2 VirginiaCity.U1,BROADFO2138 KV  BRO-SAL2,medium,medium,0.55,0.4667,True,False
PAXTON EAST - GIFFORD 138 KV L/O MORRISON - GOODLAND 138 KV,GIFFORD_138 KV_GIF-PAX:Goodland-Morrison 138kV,Paxton East-Rantoul Jct l/o Goodland-Morrison & Goodland Xfmr 1,medium,low,0.65,0.4,False,True
HOPECREE_230KVHOP-SIL_1_LN,HOPECREE_230 KV_HOP-SIL:ACTUAL,SILVERUN 230KV - HOPECREE 230KV (HOPECREE 230 KV HOP-SIL),medium,low,0.4722,0.25,True,True
MADDOXCR345 KV  ELI-MAD,MADDOXCR_345 KV_ELI-MAD:ACTUAL,MADDOXCR 345KV - ELIMA 345KV (MADDOXCR 345 KV ELI-MAD),high,medium,0.7045,0.4607,False,False
KANAWHAR 345 KV KANAWHAR . B XFORMER,KANAWHAR_345 KV_. B:ACTUAL,KANAWHAR345 KV  .  B,medium,low,0.6333,0.35,True,True
14403 138 KV 14403 -951 AURO 14403 1,BERGEN_138 KV_REAC1339:ACTUAL,951 AURO 138KV - 14405 138KV (14405 138 KV 14405 1),medium,low,0.55,0.19,True,True
SWLIMA  138 KV  SWL-WMO1,SWLIMA_138 KV_SWL-WMO1:ACTUAL,SWLIMA 138KV - WMOULTON 138KV (SWLIMA 138 KV SWL-WMO1),high,medium,0.835,0.5786,False,False
PRESTON-TANYARD 6716-5 B 69 KV,PRESTON_69 KV_PRE-TAN:ACTUAL,TANYARD 69KV - PRESTON 69KV (PRESTON 69 KV PRE-TAN),high,medium,0.9214,0.545,False,True
FLORENCE 115 KV FLORENCE-SEWARD BL 1066,SEWARD 115 KV SEW-TOW HOMER CITY-QUEMAHON 230 LINE,FLORENCE115 KV  FLO-SEW,high,low,0.7833,0.352,False,True
ATHENIA_230KVATH-BERA_1_LN,ATHENIA_230 KV_ATH-BERA:ACTUAL,ATHENIA 230KV - BERGEN 230KV (ATHENIA 230 KV ATH-BERA),low,low,0.2222,0.3,True,True
FALLS 138 KV FALLS -STEELTAP FAL-STE,FALLS_138 KV_FAL-STE:ACTUAL,FALLS 138KV - STEELTAP 138KV (FALLS 138 KV FAL-STE),high,medium,0.9159,0.5432,False,False
DOEX530 345 KV  DOE-PIE2,DOEX530_345 KV_DOE-PIE2:ACTUAL,DOEX530 345KV - PIERCE 345KV (DOEX530 345 KV DOE-PIE2),high,medium,0.835,0.5786,False,False
BRIGHTON230 KV  BRI-MTZ4,BRIGHTON_230 KV_BRI-MTZ4:ACTUAL,BRIGHTON 230KV - MTZION 230KV (BRIGHTON 230 KV BRI-MTZ4),medium,low,0.6944,0.4357,False,True
COLLINSV 138 KV COLLINSV-HUSTON 3281,COLLINSV_138 KV_HUS-COL:ACTUAL,COLLINSV 138KV - HUSTON 138KV (COLLINSV 138 KV HUS-COL),high,medium,0.8769,0.5033,False,False
PANTEGO 115 KV  PAN-TERR,PANTEGO_115 KV_PAN-TERR:ACTUAL,TERRA 115KV - PANTEGO 115KV (PANTEGO 115 KV PAN-TERR),medium,medium,0.5977,0.6286,True,False
MIDDLJCT 230 KV MIDDLJCT-SLEBANON 1004,MIDDLJCT_230 KV_MID-SLE:DBL:L230.Ironwood-NLebanon & SLebanon-Berks,SLEBANON 230KV - MIDDLJCT 230KV (MIDDLJCT 230 KV MID-SLE),high,medium,0.8769,0.4557,False,True
FORTROBI-WOLFHILL B 138 KV,FORTROBI_138 KV_FOR-WOL1:Broadford-Keywood-WolfHill 138kV line,FORTROBI 138KV - WOLFHILL 138KV (FORTROBI 138 KV FOR-WOL1),high,medium,0.8714,0.4833,True,True
ALLENIM 345 KV  ALL-RPM,ALLENIM_345 KV_ALL-RPM:Perry.U1,ALLENIM 345KV - RPMONE 345KV (ALLENIM 345 KV ALL-RPM),high,medium,0.8365,0.5472,False,True
MINUEST 230 KV MINUEST-SEWAREN R-2218,MINUEST_230 KV_MIN-SEW:ACTUAL,SEWAREN 230KV - MINUEST 230KV (MINUEST 230 KV MIN-SEW),high,medium,0.8769,0.5033,False,True
WESCOSVI 500 KV WESCOSVI 3 XFORMER,WESCOSVI_500 KV_3:ACTUAL,WESCOSVI 3        XFORMER   H  500 KV,medium,low,0.569,0.39,True,False
WAREROAD138 KV  WAR-WAV,WAREROAD_138 KV_WAR-WAV:ACTUAL,WAVERLY2 138KV - WAREROAD 138KV (WAREROAD 138 KV WAR-WAV),high,medium,0.71,0.4607,False,False
GRAYSBRA69 KV GRA-ARG1,GRAYSBRA_69 KV_GRA-ARG1:ACTUAL,GRAYSBRA69 KV   GRA-ARG1,medium,low,0.69,0.4357,True,True
MASTER_230KVMAS-NPH_1_LN,MASTER_230 KV_MAS-NPH:ACTUAL,MASTER  230 KV  MAS-NPH,low,low,0.2857,0.3,True,True
EDWSFERY230 KV  23111,NORTHWES230 KV 230-3 Conastone-Northwest (2322) 230 KV & N.West #2 tx,EDWSFERY230 KV  203B,medium,low,0.5858,0.19,False,True
CLIFTON 500 KV  TX1,CLIFTON_500 KV_TX1:L500.Clifton-Mosby.559A,CLIFTON 500KV - CLIFTON 230KV (CLIFTON 500 KV TX1),high,low,0.8133,0.4357,False,True
DEERPARK_115KVDEE-WHI1_1_LN,DEERPARK_115 KV_DEE-WHI1:ACTUAL,DEERPARK 115KV - WHITEROC 115KV (DEERPARK 115 KV DEE-WHI1),low,low,0.2222,0.3167,True,True
AEP-DOM,AEP-DOM contingency 17 Amos.U1U2U3,AEP-DOM contingency 18,medium,low,0.6917,0.4417,False,True
156 CHER 345 KV 156 CHERRY 45TR82 CT,156 CHER_345 KV_TR82CT-P:138L15622 Cherry Valley-15622-Sabrooke 138 kV Line,156 CHER 345KV - 156 CHER 1KV (156 CHER 345 KV TR82CT-P),high,low,0.7,0.4357,False,True
GRAYSBRA69 KV GRA-ARG1,GRAYSBRA_69 KV_GRA-ARG1:ACTUAL,GRAYSBRA69 KV   GRA-ARG1,medium,medium,0.69,0.4757,False,False
66 E FRN138 KV 6605 1,66 E FRN_138 KV_6606 1:ACTUAL,66 E FRN138 KV  TR83CT-S,medium,low,0.5333,0.4,True,True
43 WILDW138 KV  TR73_12,43 WILDW_138 KV_TR73_12:ACTUAL,43 WILDW138 KV  7612 4,medium,low,0.55,0.4167,True,False
AEP-DOM,AEP-DOM contingency 17 Amos.U1U2U3,AEP-DOM contingency 3,high,low,0.7375,0.4321,False,True
WMILTON 345 KV  BK-E,WMILTON_345 KV_BK-E:ACTUAL,WMILTON 345KV - WMILTON 138KV (WMILTON 345 KV BK-E),medium,medium,0.6107,0.6186,True,False
NAPLNN 138 KV NAP-MID,NAPLNN_138 KV_NAP-MID:ACTUAL,NAPLNN  138 KV  NAP-MID,high,medium,0.73,0.6286,False,False
CHURCH 69 KV CHURCH-IBCORN 6710-1,CHURCH_69 KV_CHU-IBC:ACTUAL,CHURCH 69KV - IBCORN 69KV (CHURCH 69 KV CHU-IBC),high,medium,0.9159,0.5432,False,True
HOPECREE230 KV  HOP-SIL,HOPECREE_230 KV_HOP-SIL:ACTUAL,HOPECREE 230KV - SILVERUN 230KV (HOPECREE 230 KV HOP-SIL),high,medium,0.71,0.4643,False,True
WHITAKER115 KV  1001B,WHITAKER_115 KV_1001B:ACTUAL,WHITAKER115 KV  1001C,medium,low,0.45,0.4,True,False
KEISTERS138 KV  KEI-KRE,KEISTERS_138 KV_KEI-KRE:L500.Cabot-Cranberry,KEISTERS138 KV  KEI-KRE,high,low,0.7167,0.4008,True,True
KELFORD 115 KV  126A,KELFORD_115 KV_126A:ACTUAL,KELFORD 115KV - EARLEYS 115KV (KELFORD 115 KV 126A),high,medium,0.7833,0.55,False,False
12 DRESD345 KV  93505_1,12 DRESD345 KV 1222 345L1223T DG1,12 DRESD345 KV  1222,high,low,0.7525,0.44,False,False
REMINGTN115 KV  TX1,CUSHAW_115 KV_TX1:ACTUAL,WHITAKER115 KV  TX1,medium,low,0.4667,0.4167,True,True
BEAVER  138 KV  TB1AB,BEAVER_138 KV_TB1AB:ACTUAL,BEAVER 138KV - BEAVER 13.2KV (BEAVER 138 KV TB1AB),medium,medium,0.55,0.6,False,False
GARRETT 138 KV GARRETT TRAN 2 XFORMER,GARRETT_138 KV_TRAN 2:ACTUAL,GARRETT 138 KV  TRAN  2,medium,medium,0.625,0.5167,True,False
BAYONNE 345 KV  BYO-NOR,BAYONNE_345 KV_BYO-NOR:ACTUAL,NORTHAV 345KV - BAYONNE 345KV (BAYONNE 345 KV BYO-NOR),medium,medium,0.5917,0.6286,False,False
BERWICK 69 KV BERWICK-KOONSVIL,HUNLOCK_69 KV_HUN-KOO:ACTUAL,BERWICK 69 KV   BER-KOO,high,low,0.8952,0.295,False,True
BEAV DUQ138 KV BEA-VAL,BEAV DUQ_138 KV_BEA-VAL:ACTUAL,BEAV DUQ138 KV  BEA-VAL,high,medium,0.98,0.5278,False,True
MINUEST 230 KV MINUEST-SEWAREN R-2218,MINUEST_230 KV_MIN-SEW:ACTUAL,SEWAREN 230KV - MINUEST 230KV (MINUEST 230 KV MIN-SEW),high,medium,0.8769,0.5033,False,True
RICHLND 138 KV RICHLND-NAOMIJUN,RICHLND_138 KV_RIC-WAUS:ACTUAL,RICHLND 138 KV  RIC-NAO1,high,low,0.8886,0.4,False,True
STRYKER 138 KV  STR-EFAY,STRYKER_138 KV_STR-EFAY:ACTUAL,E_FAYET 138KV - STRYKER 138KV (STRYKER 138 KV STR-EFAY),medium,medium,0.5561,0.6286,False,False
MESSICRD_138KVMES-RID_1_LN,MESSICRD_138 KV_MES-RID:ACTUAL,RIDGELEY 138KV - MESSICRD 138KV (MESSICRD 138 KV MES-RID),low,low,0.2222,0.3,True,True
BAYS_138KVBAY-WOL_1_LN,BAYS_138 KV_BAY-WOL:ACTUAL,BAYS 138KV - WOLFRUN 138KV (BAYS 138 KV BAY-WOL),medium,low,0.4722,0.25,False,True
NWTAP-PURDUE 138 KV L/O WESTWOOD-NWTAP-WESTLAFAYETTE,LAFAYSOU_138 KV_LAF-SHA:Westwood-08NW_Tap-WLafyett 138+Purdue-Lafaycin 138,NWTap-Purdue 138 kV l/o Westwood-NWTap-WestLafayette,high,low,0.9,0.2929,True,True
GEISINGR69 KV   GEI-POI1,GEISINGR_69 KV_GEI-POI1:L230.Columbia-Montour+230/69.Columbia.T2,POINT1 69KV - GEISINGR 69KV (GEISINGR 69 KV GEI-POI1),high,low,0.7,0.35,False,False
PLYWOOD_115KV151A_1_LN,LORE 6_161 KV_LN 4361:345L17102,SEDGEHIL 115KV - PLYWOOD 115KV (PLYWOOD 115 KV 151A),low,low,0.3929,0.1667,False,True
FLINTRUN_T2_500T1_XF,STIFFIN_138 KV_T2 XF:ACTUAL,FLINTRUN 500KV - FLINTRUN 138KV (FLINTRUN 500 KV T2),medium,low,0.5667,0.25,False,True
ROXANNA - MITCHELL 138 KV L/O WILTON CENTER - DUMONT 765 KV,12204_138 KV_12204 2:L765.Dumont-Wilton Center.11215,Munster 345/138 kV xfmr l/o Dumont-Wilton Center,high,low,0.7333,0.45,True,True
BOUTWELL_138KVBOU-ELIM_1_LN,BOUTWELL_138 KV_BOU-ELIM:ACTUAL,ELIMA 138KV - BOUTWELL 138KV (BOUTWELL 138 KV BOU-ELIM),low,low,0.2222,0.3,True,True
PLEASNTV TX3 XFORMER L 230 KV,PLEASNTV_230 KV_TX1:ACTUAL,PLEASNTV TX3      XFORMER   L  230 KV,medium,low,0.6643,0.3329,False,True
COLLIER 345 KV COLLIER T1 XFORMER,COLLIER_345 KV_T1:ACTUAL,COLLIER 345 KV  T1,high,medium,0.7946,0.4833,False,True
CUMB PL 230 KV CUMB PL-JUNIATA 2235,CUMB PL_230 KV_CUM-JUN:JUNIATA-DAUPHIN 230 LINE,JUNIATA 230KV - CUMB PL 230KV (CUMB PL 230 KV CUM-JUN),high,medium,0.9345,0.6474,False,True
BETHLEHE_138KVBET-BRU_1_LN,BETHLEHE_138 KV_BET-BRU:ACTUAL,BETHLEHE-BRUES    BET-BRU   B  138 KV,low,low,0.25,0.3,True,True
MIAMIFOR138 KV MIA-HEB,MIAMIFOR_138 KV_MIA-HEB:345/138.Buffington.46,MIAMIFOR138 KV  MIA-HEB,high,medium,0.8595,0.4643,False,True
JEFFRSON230 KV  241B,JEFFRSON_230 KV_241B:L500.Clifton-Ox.561+500/230.Clifton.TX2,VAHILLS 230KV - JEFFRSON 230KV (JEFFRSON 230 KV 241B),medium,low,0.6,0.275,False,True
ASTON   138 KV  AST-BIG,ASTON_138 KV_AST-BIG:ACTUAL,ASTON   138 KV  AST-BIG,high,medium,0.73,0.6286,True,False
ARLAND - MATTOON WEST 138 KV L/O ARLAND - KANSAS 345 KV,ARLD_138 KV_ARL-MATO:Arland - Kansas 345 kV,Neoga 345/138 kV xfmr 2 l/o Casey West-Kansas 345kV,medium,low,0.4833,0.35,True,False
GARDNERS_115KVGAR-TEX_1_LN,GARDNERS_115 KV_GAR-TEX:ACTUAL,TEXSEAST 115KV - GARDNERS 115KV (GARDNERS 115 KV GAR-TEX),medium,low,0.4722,0.25,False,True
SHADEGAP115 KV SHA-THR,SHADEGAP_115 KV_SHA-THR:500/230.Hunterstown.T1,SHADEGAP115 KV  SHA-THR,high,low,0.8833,0.4286,True,True
11 FISK 345 KV  TR81CT-P,141 PLEA_345 KV_TR81CT-P:ACTUAL,11 FISK 345 KV  TR81CT-P,high,medium,0.7167,0.4857,True,True
37 NATOM 138 KV 37 NATOMA 38L11412 M,37 NATOM_138 KV_3705:ACTUAL,37 NATOM138 KV  11412,low,low,0.3567,0.3329,True,True
12 DRESD 345 KV 12 DRESDEN 45TR83 CT,12 DRESD_345 KV_TR83CT-P:Dresden-Elwood 1222 345 kV line,12 DRESD 345KV - 12 DRESD 1KV (12 DRESD 345 KV TR83CT-P),high,medium,0.7,0.4833,False,False
CABINRUN_230KVCAB-YARR_1_LN,CABINRUN_230 KV_CAB-YARR:L230.Brambleton-PolandRoad.2183,YARDRIDG 230KV - CABINRUN 230KV (CABINRUN 230 KV CAB-YARR),medium,low,0.4722,0.2,False,True
ECLIPSE 115 KV ECL-PIN,ECLIPSE_115 KV_ECL-PIN:ACTUAL,PINEY 115KV - ECLIPSE 115KV (ECLIPSE 115 KV ECL-PIN),medium,medium,0.5977,0.6286,True,False
PRESTON-TANYARD 6716-5 B 69 KV,PRESTON_69 KV_PRE-TAN:ACTUAL,TANYARD 69KV - PRESTON 69KV (PRESTON 69 KV PRE-TAN),high,medium,0.9159,0.5432,False,True
PUMPHREY115 KV  PUM-VIA8,PUMPHREY_115 KV_PUM-VIA8:ACTUAL,PUMPHREY115 KV  PUM-WES4,medium,medium,0.5405,0.4757,True,False
68 LASAL138 KV 15317 1,BERGEN_138 KV_REAC1339:ACTUAL,02FAYET 138KV - 02LYONS 138KV (02LYONS 138 KV 02L-02F1),low,low,0.2,0.2,True,True
SALTVILL138 KV  SAL-TAZ1,SALTVILL_138 KV_SAL-TAZ1:L765.Culloden-Wyoming,SALTVILL 138KV - TAZEWELL 138KV (SALTVILL 138 KV SAL-TAZ1),medium,low,0.6944,0.3722,True,True
EDELPHOS69 KV   EDE-NDE,EDELPHOS_69 KV_EDE-NDE:ACTUAL,NDELPHOS 69KV - EDELPHOS 69KV (EDELPHOS 69 KV EDE-NDE),medium,medium,0.46,0.4929,True,False
HARRISCS138 KV  HAR-OBE1,HARRISCS_138 KV_HAR-OBE1:ACTUAL,HARRISCS 138KV - OBETZ 138KV (HARRISCS 138 KV HAR-OBE1),medium,medium,0.45,0.4757,True,False
ALTOONA 230 KV ALTOONA-RAYSTOWN ALT 2001,ALTOONA_230 KV_ALT-RAY:ACTUAL,ALTOONA 230KV - RAYSTOWN 230KV (ALTOONA 230 KV ALT-RAY),medium,medium,0.6778,0.5694,True,False
