market_constraint,dayzer_constraint,pano_constraint
BUTLER  69 KV   BUT-SHE,BUTLER_69 KV_BUT-SHE:ACTUAL,SHERMAN 69KV - BUTLER 69KV (BUTLER 69 KV BUT-SHE)
NEWCARLI138 KV  NEW-PLE,NEWCARLI_138 KV_NEW-PLE:345/138.KenzieCreek.T1,
LENOX 115 KV LENOX-NMESHOPP NML 1090,,LENOX 115KV - MACNEW_T 115KV (LENOX 115 KV LEN-MAC)
CEDARSUB230 KV CED-WILF,,WILLIAM1 230KV - CEDARSUB 230KV (CEDARSUB 230 KV CED-WILF)
GRABILL 138 KV GRABILL-ROBISONP,,ROBISONP 138KV - GRABILL 138KV (GRABILL 138 KV GRA-ROB1)
MOUN UGI 230 KV MOUN UGI 3 XFORMER,,
CEDARSUB230 KV CED-WILF,,CEDARGRO 230KV - CLIF PS 230KV (CEDARGRO 230 KV CED-CLIK)
HOPECREE230 KV  HOP-SIL,,HOPECREE 230KV - SILVERUN 230KV (HOPECREE 230 KV HOP-SIL)
MERIDIAN345 KV  MER-TWI1,,DUMONT2 345KV - TWINBRAN 345KV (DUMONT2 345 KV DUM-TWI1)
BIGPINET138 KV  BIG-KIS,,BIGPINET 138KV - GARRNJCT 138KV (BIGPINET 138 KV BIG-GAR)
BUTL APS 138 KV BUTL APS-KARNSCIT KC-BT,,
LOGTOWN 138 KV  LOG-NDEL,LOGTOWN_138 KV_LOG-NDEL:ACTUAL,LOGTOWN 138 KV  LIN-LOG
KRENDALE 138 KV KRENDALE-SHANORMA KND-BT,,SHANORMA 138KV - KRENDALE 138KV (KRENDALE 138 KV KRE-SHA)
EWATERVT138 KV  EAS-WES,EWATERVT_138 KV_EAS-WES:ACTUAL,
LACKAWAN-OXBOW ETP 2004 A 230 KV,LACKAWAN_230 KV_LAC-OXB:L500.Hopatcong-Lackawanna.5063,
BAGLEY  230 KV  BAG-RAP5,BAGLEY_230 KV_BAG-RAP5:500/230.WaughChapel.500-4,BAGLEY  -GRACETON BAG-GRA   B  230 KV
REMNTNCT230 KV  299A,,REMINGTN 115KV - REMNTNCT 115KV (REMINGTN 115 KV 6A)
JORDAN - WFRANKFORT E 138KV L/O JORDAN - MASSAC 345KV,E W FKF3_138 KV_EWF-JORD:Jordan- Massac 345kV,JORD 138KV - E W FKF3 138KV (E W FKF3 138 KV EWF-JORD)
COLLEGEC 138 KV COLLEGEC-COLLINSV,,COLLEGEC 138KV - COLLINSV 138KV (COLLEGEC 138 KV COL-COL6)
HARWOOD 230 KV HARWOOD -SUSQUEHA HAR-SUS2,,SUSQUEHA 230KV - HARWOOD 230KV (HARWOOD 230 KV HAR-SUS2)
MAYWOOD 230 KV MAYWOOD-SADDLEBR G-2259,MAYWOOD_230 KV_MAY-SAD:L230.Bergenfield-Leonia.P-2294,
MARDELA-VIENNA 6708-1 A 69 KV,,VIENNA 69KV - MARDELA 69KV (MARDELA 69 KV MAR-VIE)
KOKOMO - TIPTON W. 230KV L/O NUCOR - CAYUGA 345KV,,NEWLONDN 230KV - KOKOMOPS 230KV (KOKOMOPS 230 KV KOK-NEW1)
GREYSPT 115 KV  GRE-HARM,GREYSPT_115 KV_GRE-HARM:ACTUAL,HARMONYV 115KV - GREYSPT 115KV (GREYSPT 115 KV GRE-HARM)
MAROA -E GOOSECREEK 345 KV L/O WILTON CENTER-DUMONT 765 KV FG,,Maroa -E GooseCreek 345 kV l/o Wilton Center-Dumont 765 kV
BRUNNERI 230 KV BRUNNERI-YORKANA 1055,,BRUNNERI 230KV - YORKANA 230KV (BRUNNERI 230 KV BRU-YOR)
PARADISE-BR TAP 161KV L/O WILSON BR UNIT 1,WILSONBR_345 KV_2:Wilson XF1 345/161,PARADIS 161KV - BR_TAP 161KV (BR_TAP 161 KV BRT-PAR)
RISING BONDVILL 138 KV L/O RISING SIDNEY 345 KV,RISING_345 KV_45TR1:Faraday-Arlond 345 kV,RISING 345KV - RISING 138KV (RISING 345 KV 45TR1)
MOHOMET - CHAMPTP 138 KV L/O CLINTON-OREANA-GOOSECRK 345 KV,,
TRENTON2138 KV  TRE-COL1,CLIFFORD_138 KV_CLI-COL1:L500.Cloverdale-Lexington.566,
BAGLEY  230 KV  BAG-GRAC,BAGLEY_230 KV_BAG-GRAC:ACTUAL,BAGLEY  -GRACETON BAG-GRA   B  230 KV
EASTON-EMUNI 6772 A 69 KV,,
16901   138 KV  16901 Z1,,
BRAMBLET230 KV  BRA-EVRG,,BRAMBLET230 KV  2045A
74 KEWAN B1Z5 DIS              138 KV,,74 KEWAN B1Z5 DIS              138 KV
HANOVER 69 KV   HAN-PAR,HANOVER_69 KV_HAN-PAR:ACTUAL,
GRACETON 230 KV GRACETON-SAFEHARB 2303,,GRACETON230 KV  GRA-SAF
DESOTO  138 KV  DES-SEL,DESOTO_138 KV_DES-SEL:ACTUAL,KEYSTNE 345KV - DESOTO 345KV (DESOTO 345 KV DES-KEY1)
VIENNA 230 KV VIENNA AT20 TRANSFORMER,,VIENNA 13710 SER DEV        A  138 KV
TURKEY HILL-MASCOUTA 138 KV L/O PRAIRIE STATE-MT VERNON 345 KV,,Turkey Hill-Mascouta 138 kV l/o Prairie State-Mt Vernon 345 kV
DICKERSH 230 KV DICKERSH-DICKERSO 23103,,DICKERSH 230KV - DICKERSO 230KV (DICKERSH 230 KV DIC-DIC4)
BUTL APS 138 KV BUTL APS-KARNSCIT KC-BT,,BUTL APS 138KV - KARNSCIT 138KV (BUTL APS 138 KV BUT-KAR)
CEDARGRO 230 KV CEDARGRO-JACK PS L-2238,,
YORKANA B43 CB  230 KV,,JACK ME 230KV - YORKANA 230KV (JACK ME 230 KV JAC-YOR)
LINCOLN 115 KV LINCOLN-STRABAN 998,,LINCOLN 115KV - STRABAN 115KV (LINCOLN 115 KV LIN-STR)
CARL PN-GARDNERS 1049 B 115 KV,,GARDNERS 115KV - CARL PN 115KV (CARL PN 115 KV CAR-GAR)
MEHOOPAN115 KV  MEH-NME2,,MEHOOPAN 115KV - NMESHOPP 115KV (MEHOOPAN 115 KV MEH-NME1)
ALLDAM6 138 KV ALLDAM6-KITTANNI SP-KT,,ALLDAM6 138KV - KITTANNI 138KV (ALLDAM6 138 KV ALL-KIT)
GRACETON 230 KV GRACETON-SAFEHARB 2303,,GRACETON230 KV  GRA-SAF
RAMAPO  138 KV  RAM-SMA,RAMAPO_138 KV_RAM-SMA:ACTUAL,
CAYUGA-HILSDALEN 230 KV L/O DRESSER-SUGARCREEK 345 KV,PJM MONITOR_PANNELL 345 CLAY 345 1_25050 l/o PANNELL_-CLAY___,NUCOR 345KV - WHITESTO 345KV (NUCOR 345 KV NUC-WHI1)
VERMILION-TILTON 138 KV L/O BUNSONVILLE-SIDNEY 345 KV,,Bunsonville 345/138 l/lo Sidney-Bunsonville 345
18 WILL 138 KV 18 WILL -1808 1808 1,,
WEEDMAN_MAHOMET_138_FLO_CLINTON_OREAN,,BROKAW 138KV - CORNBELT 138KV (BROKAW 138 KV BRO-CORN)
GRANT 138 KV GRANT-GREENTO2,GRANT_138 KV_GRA-GRE1:L345.Fall.Creek-Noblesville (Sctnlz),
KAMMER2 138 KV KAMMER-NATRIUM,,
HIGHLAOE138 KV  HIG-COM1,,HIGHLAOE 138KV - COMERC 138KV (HIGHLAOE 138 KV HIG-COM1)
HAVILAND138 KV HAV-TIM,,
1206    138 KV  1206 4,,
BAGLEY  230 KV  BAG-GRAC,BAGLEY_230 KV_BAG-GRAC:ACTUAL,BAGLEY  230 KV   BAG-GRA 2305
981 CRES138 KV 7413,,
DARLEYRD 69 KV DARLEYRD-NAAMANS 6835,,NAAMANS 69KV - DARLEYRD 69KV (DARLEYRD 69 KV DAR-NAA)
OTTCRKPL230 KV  OTT-YOR,,OTTCRKPL230 KV  OTT-SAF
CONASTON 230 KV CON-GRAC,,CONASTON 230KV - GRACETON 230KV (CONASTON 230 KV CON-GRAC)
DEQUINE 345 KV  DEQ-FOWJ,DEQUINE_345 KV_DEQ-FOWJ:ACTUAL,
LINE 230 KV CEDARGRO-ROSELAND CED-ROSY,,ROSELAND 230KV - CEDARSUB 230KV (CEDARSUB 230 KV CED-ROSY)
PIPECREE138 KV  MUL-PIP1,939_MUL_345 KV_MUL-TAZE:L345.12Dresden-939Mulberry.1227,PIPECREE138 KV  MUL-PIP1
N COULTERVIL 138/230 KV L/O PRAIRIE STATE - W MT.VERNON 3,LAC N T3_138 KV_32291322:Prairie State-W Mt. Vernon 345,N Coultervil 138/230 kV l/o Prairie State - W Mt.Vernon 3
MERIDIAN-TWINBRAN           B  345 KV,,TWINBRAN 345KV - MERIDIAN 345KV (MERIDIAN 345 KV MER-TWI1)
MILLWDPL230 KV  MIL-SAK,,SAKRON 230KV - MILLWDPL 230KV (MILLWDPL 230 KV MIL-SAK)
COLORA 230 KV COLORA-CONOWING 220-88,,CONOWING 230KV - COLORA 230KV (COLORA 230 KV COL-CON2)
WMOULTON 69 KV WMOULTON-09ST_MRY,WMOULTON_138 KV_WMO-CIT1:L345.Gristmill-Shelby,
LAFAYETTE 138/230 KV TR1 L/O LAFAYETTE 138/230 TR4,,
MONROE-LALLENDORF 345 KV L/O LULU 345 KV SUB,VINELAND_69 KV_0712:L69.Monroe-Vineland.0711,Monroe-Bayshore 345 kV l/o Lulu 345 kV Sub
AP SOUTH REACTIVE TRANSFER INTERFACE,TRANSFER INTERFACE: APSOUTH:Chesterfield.U6,
BAIR 115 KV BAIR-JACK ME 969-2,BAIR 115-JACK ME 115-1,JACK ME 115KV - BAIR 115KV (BAIR 115 KV BAI-JAC)
CANYON  230 KV  CAN-EAS,CANYON_230 KV_CAN-EAS:ACTUAL,
ELIMA   138 KV  ELI-HAV1,ELIMA_138 KV_ELI-HAV1:ACTUAL,HAVILAND 138KV - ELIMA 138KV (ELIMA 138 KV ELI-HAV1)
BEDINGTO_T1_500TRAN2_XF,,
GEORGEWA 138 KV GEORGEWA-KAMMER2,,KAMMER2 765KV - SCANTON2 765KV (KAMMER2 765 KV KAM-SCA1)
TRENTON2138 KV  TRE-COL1,,COLLEGEC 138KV - TRENTON2 138KV (TRENTON2 138 KV TRE-COL1)
BIGPINET_138KVBIG-KIS_1_LN,,KISKIVAL 138KV - BIGPINET 138KV (BIGPINET 138 KV BIG-KIS)
LINE 230 KV CEDARGRO-ROSELAND CED-ROSY,,
PLEASNTV-ASHBURN 274D A 230 KV,,PLEASNTV 230KV - ASHBURN 230KV (PLEASNTV 230 KV 274D)
NOTTINGH_NOT2302-3_1_LN,,NOTTINGH_NOT2302-3_1_LN
