market_constraint,dayzer_constraint,pano_constraint
BATTLEBO115 KV  1014A,,
SPOTSLV 500 KV  T1,SPOTSLV_500 KV_T1:ACTUAL,
MIAMIFORT XF9 345/138 KV L/O MIAMIFORT XF10 345/138 KV,,MIAMIFOR 345KV - MIAMIFOR 138KV (MIAMIFOR 345 KV 9)
PRUNTYTO 138 KV PRUNTYTO-UNIONRD 16,PRUNTYTO_138 KV_PRU-UNI:L500.Black Oak-Hatfield,PRUNTYTO 138KV - UNIONRD 138KV (PRUNTYTO 138 KV PRU-UNI)
81 TOULO138 KV  7421,,08GRDALE 138KV - MIAMIFOR 138KV (MIAMIFOR 138 KV MIA-08G1)
BERWICK 69 KV BERWICK-KOONSVIL,,BERWICK 69 KV   BER-KOO
SAWMILL 138 KV  SAW-DUB1,SAWMILL_138 KV_SAW-DUB1:ACTUAL,SAWMILL 138KV - DUBLIN 138KV (SAWMILL 138 KV SAW-DUB1)
VOLUNTEER-PHIPPS BEND 500 KV L/O CONASAUGA-MOSTELLER 500 KV,PHIPPB_500 KV_32200A:Jefferson-Rockport (JEF-ROC1) 765 Line,Volunteer-Phipps Bend 500 l/o Conasauga-Mosteller 500
HYATTCS_345KVMAR-HYA2_1_LN,,MARYSVI2 345KV - HYATTCS 345KV (HYATTCS 345 KV MAR-HYA2)
KENNY   138 KV  KEN-ROB1,KENNY_138 KV_KEN-ROB1:ACTUAL,ROBERTS2 138KV - KENNY 138KV (KENNY 138 KV KEN-ROB1)
PRES - TIBBS 138KV L/O NEWBOURBON - SMNY 138KV,PRES_138 KV_PRE-TIBB:NewBourbon - SMNY 138kV,PRES 138KV - TIBB 138KV (PRES 138 KV PRE-TIBB)
GRIFFIN4 138 KV GRIFFIN4-02PVALEY,,
EDGEWATE_138KVEDG-LOY_1_LN,,LOYALHAN 138KV - EDGEWATE 138KV (EDGEWATE 138 KV EDG-LOY)
08WLDER1138 KV  08W-PIE1,,BECKJORD 138KV - 08WLDER1 138KV (08WLDER1 138 KV 08W-PIE1)
NEWTON 2 TR 345/138 KV L/O CASEY-NEWTON 345 KV,MT VRNO3_345 KV_TX00:L345.Newton-Casey (Ameren),Holland NW - neoga s l/o Newton-Casey
ANGELBRA_138KVANG-HOP1_1_LN,SB 74 6_161 KV_LN 4652:L345.Sub91-Davenport (MEC),ANGELBRA 138KV - HOPKINS 138KV (ANGELBRA 138 KV ANG-HOP1)
MILLBROO138 KV  MIL-SPO1,MILLBROO_138 KV_MIL-SPO1:138/69/34.Bellefonte.T2,
MALISZEW_138KVMAL-GEN1_1_LN,,MALISZEW 138KV - GENOA 138KV (MALISZEW 138 KV MAL-GEN1)
BERYL   138 KV  BER-MTZ,BERYL_138 KV_BER-MTZ:ACTUAL,MTZI APS 138KV - BERYL 138KV (BERYL 138 KV BER-MTZ)
CHICAGO - USSTOCKTON 138KV L/O WILTON CENTER - DUMONT 765KV,,St.John - GreenAcres 345kV l/o Wilton Center - Dumont 765kV
EDELPHOS69 KV   EDE-NDE,,THAYER 138KV - HANTHORN 138KV (HANTHORN 138 KV HAN-THA)
IDYLWOO4-CLARK4 202A L/O 2035,,IDYLWOO4 230KV - CLARK4 230KV (IDYLWOO4 230 KV 202A)
STILLWELL 345/138 KV XFMR 1 L/O WILTON CENTER - DUMONT 765 KV,,Dune Acres- Michigan City 1 138 kv l/o Dumont - Wilton Center 765 KV
MOSELEY 138 KV MOSELEY-ROANOKE,,ROANOKE 138KV - MOSELEY 138KV (MOSELEY 138 KV MOS-ROA1)
ATLNTCDP230 KV  2161C,,GAINESVL 230KV - ATLNTCDP 230KV (ATLNTCDP 230 KV 2161C)
ALBRIGHT 138 KV ALBRIGHT-GARRETT,,GARRETAP 115KV - GARRETT 115KV (GARRETAP 115 KV GAR-GAR)
CAVESPRI138 KV  CAV-HAN1,BAKER_765 KV_BAK-HAN1:ACTUAL,CLOVERD2 345KV - CLOVERD2 138KV (CLOVERD2 345 KV 3)
CANALAEP138 KV  CAN-MOU1,CANALAEP_138 KV_CAN-MOU1:ACTUAL,
HUNTERST230 KV  REACT,,HUNTERST230 KV  REACT
AHOSKIE 115 KV  136B,,TUNIS 115KV - AHOSKIE 115KV (AHOSKIE 115 KV 136B)
HUMMELCR138 KV  HUM-GRE1,,
CLBHOUSE 230 KV CLBHOUSE TX1 XFORMER,,PRGEORGE 230KV - PRGEORGE 115KV (PRGEORGE 230 KV TX1)
LACKAWAN230 KV  LAC-SUM2,,LACKAWAN 230KV - PAUPACK 230KV (LACKAWAN 230 KV LAC-PAU)
51 MC CO345 KV  TR84_1,51 MC CO_345 KV_TR84_1:ACTUAL,51 MC CO 345KV - 51 MC CO 138KV (51 MC CO 345 KV TR84_1)
MORTON 230 KV MORTON-RIDLEY 220-46,MORTON_230 KV_MOR-RID:L500.Limerick-PeachBottom.5010,
ROCKWOOD_115KVROC-SOM_1_LN,BRIDGEWA_230 KV_BRI-SOM:Parlin-Red Oak-Sayreville (G1047) 230 kV line,
DRANESVL230 KV  2062A,,BRAMBLET230 KV  2045A
KERRDAM 115 KV 193D,KERRDAM_115 KV_193D:L500.Carson-Clover.556,KERRDP 115KV - KERRDAM 115KV (KERRDAM 115 KV 193D)
94 HAURD-11323 11323 B 138 KV,,94 HAURD 138KV - 11323 138KV (94 HAURD 138 KV 11323)
CRISFIE_69KVCRI-KST_1_LN,SB 74 6_161 KV_LN 4652:L345.Sub91-Davenport (MEC),
LINCOJCT 115 KV LINCOJCT-LINCOLN 963-1T,,LINCOJCT115 KV  LNJ-LIN
PLYMOUTH_230KVPLY-UPP_1_LN,,
CRES DUQ138 KV  CRE-MTN,,CRES DUQ 138KV - MT NEBO 138KV (CRES DUQ 138 KV CRE-MTN)
FREMNT  138 KV  FRE-WFR1,FREMNT_138 KV_FRE-WFR1:ACTUAL,WFREMONT 138KV - FREMNT 138KV (FREMNT 138 KV FRE-WFR1)
CRANBERY138 KV CRA-TRA,TRAYNOR_230 KV_TRA-WHIY:ACTUAL,
BRIGHTON230 KV  BRI-BUR2,BRIGHTON_230 KV_BRI-BUR2:ACTUAL,
167 PLAN 345 KV 167 PLANO 45TR94 CT,,
BEAV DUQ138 KV  BEA-RAC,,BEAV DUQ345 KV  BEA-SAM
LACKAWAN230 KV  LAC-PAU,,LACKAWAN 230KV - OXBOW 230KV (LACKAWAN 230 KV LAC-OXB)
MOUN ME 115 KV  2 TX 11,MOUN ME_115 KV_2 TX 11:ACTUAL,
MULHAUSR138 KV  08M-POR1,FOSTER2_345 KV_FOS-POR1:L345.Pierce-Foster,PORTUNIO 138KV - SWARD 138KV (SWARD 138 KV SEW-POR1)
3 POWERT138 KV  POW-TWRL,,3 POWERT 138KV - TWRL 138KV (3 POWERT 138 KV POW-TWRL)
HOYTDAL2345 KV  2,,
NMESHOPP #3 TX XFORMER L 115 KV,,NMESHOPP 230KV - NMESHOPP 115KV (NMESHOPP 230 KV 4 TX)
CHESWICK 138 KV CHESWICK-LOGANSFE CHE-LF52,,CHESWICK 138KV - LOGANSFE 138KV (CHESWICK 138 KV CHE-LF52)
PLYWOOD 115 KV  151A,PLYWOOD_115 KV_151A:L230.Clover-Briery-Farmville.235,SEDGEHIL 115KV - PLYWOOD 115KV (PLYWOOD 115 KV 151A)
EDENSRID138 KV  EDE-IND1,,ABINGDON138 KV  ABI-CLI1
TODD HUNTER 345/138 17 L/O TODD HUNTER 345/138 15,,TODDHUNT 345KV - TODDHUNT 138KV (TODDHUNT 345 KV 17)
112 WILT 765 KV 112 WILTON 65TR94 CT,112 WILT_765 KV_TR94CT-P:765/345.112Wilton.TR93,
EELKHART138 KV  EEL-ELC1,,EELKHART 138KV - ELCONATP 138KV (EELKHART 138 KV EEL-ELC1)
CURRYVIL_115KVCUR-SAX_1_LN,,CURRYVIL 115KV - SAXTON 115KV (CURRYVIL 115 KV CUR-SAX)
12_DRESD_345KV1220_1_LN,,12 DRESD-908 MOLE 1202      B  345 KV
78_FRANK_P3_138P3705-1_XF,,Michigan City-Bosserman 138 kV l/o Babcock-Stillwell 345 kV and XF 1
11323   138 KV  11323 5,,
HAVILAND_69KVHAV-LAT_1_LN,,
GRANDPT_138KVGRA-LET_1_LN,,
ELIMA   138 KV  ELI-HAV1,ELIMA_138 KV_ELI-HAV1:ACTUAL,
LADYSMCT230 KV  LAD-SUMM,,LADYSMCT 230KV - SUMMITDP 230KV (LADYSMCT 230 KV LAD-SUMM)
HINCHMAN_230KVHIN-JAC_1_LN,,JACK PS 230KV - HINCHMAN 230KV (HINCHMAN 230 KV HIN-JAC)
THELMA  138 KV  THE-BUS1,,THELMAEK 69KV - THELMA 69KV (THELMA 69 KV THE-THE1)
LORETTO 138 KV LORETTO-PINEYGRO 13777,,LORETTO 138KV - PINEYGRO 138KV (LORETTO 138 KV LOR-PIN)
LOWMOOR 138 KV  TX1A,LOWMOOR_138 KV_TX1A:ACTUAL,
MTEAGLE 230 KV  2028A,MTEAGLE_230 KV_2028A:L500.Midlothian-NorthAnna.576,MTEAGLE 230KV - CHARLTSV 230KV (MTEAGLE 230 KV 2028A)
ALLENIM 138 KV  ALL-LOG,ALLENIM_138 KV_ALL-LOG:ACTUAL,ALLENIM 138KV - LOGTOWN 138KV (ALLENIM 138 KV ALL-LOG)
IRONWOOD 230 KV IRONWOOD-SLEBANON,SLEBANON 230-SREADING 230,
CRANBERY138 KV  CRA-HOY,CRANBERY_138 KV_CRA-HOY:ACTUAL,CRANBERY138 KV  CRA-HOY
11 FISK 38TR71 12 H 138 KV,,11 FISK 138KV - 11 FISK 12KV (11 FISK 138 KV TR71 12)
MARQUIS2 345 KV MARQUIS2-DOEX530 TIE,,DOEX530 345KV - MARQUIS2 345KV (MARQUIS2 345 KV MAR-DOE2)
12 DRESD138 KV  1210 1,,12 DRESD138 KV  1205 1
SHELOCTA 230 KV SHELOCTA NO2 XFORMER,,
FUDGEHO4138 KV  14A,FUDGEHO4_138 KV_14A:L500.Cloverdale-Lexington.566,BEVERLY2 345KV - MUSKING2 345KV (BEVERLY2 345 KV BEV-MUS1)
BLAIRSVE_138KVBLA-SOC_1_LN,,
CUMB PL 230 KV CUMB PL-JUNIATA 2235,CUMB PL_230 KV_CUM-JUN:Juniata - TMI 5008 & Juniata - Dauphin,JUNIATA 230KV - CUMB PL 230KV (CUMB PL 230 KV CUM-JUN)
CHERRYRN 138 KV CHERRYRN-MORGAN WC2,,MORGAN 138KV - CHERRYRN 138KV (CHERRYRN 138 KV CHE-MOR)
BUTL APS 138 KV BUTL APS-KARNSCIT KC-BT,,BUTL APS 138KV - KARNSCIT 138KV (BUTL APS 138 KV BUT-KAR)
CUMB PL 230 KV CUMB PL-JUNIATA 2235,,JUNIATA 230KV - CUMB PL 230KV (CUMB PL 230 KV CUM-JUN)
HAYES_FE138 KV  AVE-HAYE,,HAYES_FE 138KV - AVERY 138KV (HAYES_FE 138 KV AVE-HAYE)
TANNER - JASPER 138 KV L/O W FRANKFORT - MT VERNON 345 KV,,N Coulterville 138/230 Xfmr flo W Frankfort-E Mt Vernon 345
BLOOMSBU69 KV   BLO-COL2,,
CONEMAUG500 KV TX3,,CONEMAUG 500KV - CONEMAUG 230KV (CONEMAUG 500 KV TX3)
ESIDELIM138 KV  ESI-GOME,,ESIDELIM138 KV  ESI-NDE1
BLACKOAK 138 KV BLACKOAK-JUNCTION JBO,,BLACKOAK 138KV - JUNCTION 138KV (BLACKOAK 138 KV BLA-JUN)
NELSON 138 KV NELSON-VIENNA 13707,NELSON_138 KV_NEL-VIE:L138.Loretto-Vienna.13780,VIENNA 138KV - NELSON 138KV (NELSON 138 KV NEL-VIE)
IDYLWOO4 230 KV IDYLWOO4-CLARK4 202A,,IDYLWOO4 230KV - CLARK4 230KV (IDYLWOO4 230 KV 202A)
MEADOWBR-STRASBUR MST A 138 KV,MEADOWBR 138-MEADOWBR 500,MEADOWBR138 KV  MEA-STR
127 MATT 138 KV 127 MATT-6604 6604 2,,
TRISTATE138 KV  TRI-CHA2,,TRISTATE 138KV - CHADWICK 138KV (TRISTATE 138 KV TRI-CHA2)
MIDDLJCT 115 KV MIDDLJCT-YORKHAVE 978-1,,MIDDLJCT 115KV - YORKHAVE 115KV (MIDDLJCT 115 KV MID-YOR8)
ASPENSLR115 KV  ASP-ROXB,,SHADEGAP 115KV - ASPENSLR 115KV (ASPENSLR 115 KV ASP-SHAD)
BETHEL-RIVERTON RLU B 138 KV,,BETHEL 138KV - RIVERTON 138KV (BETHEL 138 KV BET-RIVU)
EDGEWATE 138 KV EDGEWATE-VASCOTAP SH-LH,,VASCOTAP 138KV - EDGEWATE 138KV (EDGEWATE 138 KV EDG-VAS)
YUKON 500 KV YUKON TRAN 3 XFORMER,,YUKON    TRAN  2  XFORMER   H  500 KV
RICHLND 138 KV RICHLND-NAOMIJUN,,RICHLND-NAOMIJUN            A  138 KV
BROADFO2 138 KV BROADFO2-SALTVILL 2,,
NELSON 345/138 TR82 L/O BYRON-LEE COUNTY 345 KV,15518_138 KV_15518 2:345/138.Nelson.TR82,124 Maryland-11902 138 l/o Byron-Lee County 345 kV
BEAUMEAD-ASHBURN 274C B 230 KV,,ASHBURN 230KV - BEAUMEAD 230KV (BEAUMEAD 230 KV 274C)
SCANTON2138 KV  SCA-APP1,,SCANTON2 138KV - APPLECRE 138KV (SCANTON2 138 KV SCA-APP1)
YUKON 500 KV YUKON TRAN 3 XFORMER,,YUKON   500 KV  TRAN  3
EASTGATE 138 KV EASTGATE-LUXOR KF-LU,,EASTGATE 138KV - LUXOR 138KV (EASTGATE 138 KV EAS-LUX)
MIDDLETO_138KVMID-MTP_1_LN,,MTPLEASN 138KV - MIDDLETO 138KV (MIDDLETO 138 KV MID-MTP)
BROADFO2-SALTVILL 1         A  138 KV,,BROADFO2 138KV - SALTVILL 138KV (BROADFO2 138 KV BRO-SAL2)
CHR138_138KVCHR-NEW_1_LN,LORE 6_161 KV_LN 4361:345L17102,
BURKE   230 KV  270A,BURKE_230 KV_270A:L500.Morrisville-Spotsylvania.594,SIDEBURN 230KV - BURKE 230KV (BURKE 230 KV 270A)
RIVERRD 115 KV  86D,RIVERRD_115 KV_86D:L500 Chickahominy-Elmont.557A(Sctnlz),RIVERRD 115KV - NWEST 115KV (RIVERRD 115 KV 86D)
APSOUTH CONTINGENCY 73,,APSOUTH contingency 73
TITUSVIL115 KV TIT-UNI,,GRANDVIE 115KV - TITUSVIL 115KV (GRANDVIE 115 KV GRA-TIT)
MIDDLETO 138 KV MIDDLETO-MTPLEASN 13808-2,,MTPLEASN 138KV - MIDDLETO 138KV (MIDDLETO 138 KV MID-MTP)
66 E FRN 345 KV 66 E FRN TR83CT-P XFORMER,,66 E FRN 345KV - 66 E FRN 1KV (66 E FRN 345 KV TR83CT-P)
ALLDAM6 138 KV ALLDAM6-KITTANNI SP-KT,,ALLDAM6 138KV - KITTANNI 138KV (ALLDAM6 138 KV ALL-KIT)
08LAPLJT138 KV  08L-SAN1,,
7713 -981 CRESENT 138 KV FOR LOSS OF POWERTON-TOULON 0321 138 KV,,7713 -981 Cresent 138 kV for loss of Powerton-Toulon 0321 138 kV
BRUNSWIC230 KV  BRU-MEA,,
FTSLOCUM69 KV   190-6R,OST_138 KV_002-6R:ACTUAL,
12THST  69 KV   12T-FTS,12THST_69 KV_12T-FTS:ACTUAL,FTSLOCUM 69KV - 12THST 69KV (12THST 69 KV 12T-FTS)
NRTHNECK 230 KV NRTHNECK TX6 XFORMER,,NRTHNECK 115KV - NRTHNECK 230KV (NRTHNECK 230 KV TX6)
08OAKLEY138 KV  08O-RED1,08OAKLEY_138 KV_08O-RED1:ACTUAL,
ALLDAM6 138 KV ALLDAM6-KITTANNI SP-KT,,ALLDAM6 138KV - KITTANNI 138KV (ALLDAM6 138 KV ALL-KIT)
ETOWANDA 230 KV ETOWANDA-HILLSIDE 2002 TIE,,
LINWOOD2138 KV  LIN-ROS1,,LINWOOD2 138KV - ROSEHILL 138KV (LINWOOD2 138 KV LIN-ROS1)
MIDDLETO 138 KV MIDDLETO-MTPLEASN 13808-2,,
CAMDEN  230 KV  CAM-GLOY,CAMDEN_230 KV_CAM-GLOY:ACTUAL,
ERDMAN_115KVERD-PHI5_1_LN,HAZELWOO_115 KV_HAZ-WIN6:L115.WindyEdge-Hazelwood-Erdman.110505,
TRENTON2 138 KV TRENTON2-HUSTON 3281,,HUSTON 138KV - TRENTON2 138KV (TRENTON2 138 KV HUS-TRE)
CHESWICK 138 KV CHESWICK-LOGANSFE CHE-LF53,CHESWICK_138 KV_CHE-LF53:138.Cheswick-Logans Ferry.Z-52,CHESWICK-LOGANSFE CHE-LF53  B  138 KV
GRAPEVIN230 KV  GRA-MTEA,GRAPEVIN_230 KV_GRA-MTEA:L500.Midlothian-NorthAnna.576,GRAPEVIN 230KV - MTEAGLE 230KV (GRAPEVIN 230 KV GRA-MTEA)
SHELBYCO69 KV   SHE-SHLC,SHELBYCO_69 KV_SHE-SHLC:ACTUAL,
WEFOSTOR138 KV WEF-02W1,,WEFOSTOR138 KV  WEF-02W1
MTNEBO  69 KV   FAC-MTNB,MTNEBO_69 KV_FAC-MTNB:ACTUAL,FACEROCK 69KV - MTNEBO 69KV (MTNEBO 69 KV FAC-MTNB)
SHAWVILL115 KV  BNK 1A-S,,SHAWVILL 1KV - SHAWVILL 115KV (SHAWVILL 115 KV BNK 1A-S)
SEWARD 230 KV SEWARD 230 KV T11 XFORMER,,SEWARD 230KV - SEWARD 115KV (SEWARD 230 KV T11)
JACKSONVILLE NORTH-JACKSONVILLE INDUSTRIAL 138 KV L/O BLUEMOUND-PONTIAC 345 KV,,
OX4 500 KV OX4 TX2 XFORMER,,OX4 500KV - OX4 230KV (OX4 500 KV TX2)
DOEX530 345 KV  DOE-PIE2,DOEX530_345 KV_DOE-PIE2:ACTUAL,DOEX530 345KV - PIERCE 345KV (DOEX530 345 KV DOE-PIE2)
CHESTER4 115 KV CHESTER4-TURNER4 92A,CHESTER4_115 KV_92A:ACTUAL,CHESTER4115 KV  92A
THELMA 69 KV THE-THE1,THELMA_138 KV_THE-BUS1:L138.BigSandy-Inez,THELMA 69KV - THELMAEK 69KV (THELMA 69 KV THE-THE1)
BOONETWN230 KV  BOO-SRE,,
DOUBS   500 KV  DOU-GOO,,DOUBS 500KV - GOOSECRE 500KV (DOUBS 500 KV DOU-GOO)
ALLENIM 138 KV  ALL-TIL,ALLENIM_138 KV_ALL-TIL:ACTUAL,ALLENIM 345KV - RPMONE 345KV (ALLENIM 345 KV ALL-RPM)
POSSUMP4 230 KV POSSUMP4 2078Z SER DEV,,POSSUMP4230 KV  2078Z
MTSTORM4 500 KV MTSTORM4-VALLEY4 550A,,MTSTORM4 500KV - VALLEY4 500KV (MTSTORM4 500 KV 550A)
BUTL APS 138 KV BUTL APS-SHANORMA KND-BT,,
DOUBS   500 KV  DOU-GOO,,DOUBS 500KV - GOOSECRE 500KV (DOUBS 500 KV DOU-GOO)
GROTTOES 115 KV GROTTOES-ELKTONDP 119C,,GROTTOES 115KV - ELKTONDP 115KV (GROTTOES 115 KV 119C)
RAPPAHAN-WHITESTN 65A1      A  115 KV,,RAPPAHAN 115KV - WHITESTN 115KV (RAPPAHAN 115 KV RAP-WHIT)
MARDELA-VIENNA 6708-1 A 69 KV,,VIENNA 69KV - MARDELA 69KV (MARDELA 69 KV MAR-VIE)
ELIMA   138 KV  ELI-FOR1,ELIMA_138 KV_ELI-FOR1:ACTUAL,
CORNER 138 KV CORNER-DEGUSSA 82,,DEGUSSA 138KV - CORNER 138KV (CORNER 138 KV COR-DEG)
EDELPHOS_69KVEDE-NDE_1_LN,,NDELPHOS 69KV - EDELPHOS 69KV (EDELPHOS 69 KV EDE-NDE)
STILLWELL - LNG 138 KV L/O OLIVE XF 345/138,,Michigan City-Bosserman 138 kV l/o Olive 345 XFMR 2
CHESTNT_115KV1024A_1_LN,,EVERETTS 115KV - PCHAPEL 115KV (EVERETTS 115 KV 25A)
LACLEDE STEEL NORTH TAP - GILESPIE 138 L/O PRAIRST - WMTVERNON 345,,Laclede Steel North tap - Gilespie 138 l/o PrairSt - WMTVernon 345
HOYTDAL2 138 KV HOYTDAL2-MAPLEOE,,HOYTDAL2 138KV - MAPLEOE 138KV (HOYTDAL2 138 KV HOY-MAP1)
PIERC_DK345 KV  BK18,,BECKJORD-PIERC_DK 1887      B  138 KV
SUB 71 - SUB 88 161 KV L/0 LOUISA - OAK GROVE 345 KV,Black Oak - Bedington Interface,
LEESVILL_138KVLEE-SMI1_1_LN,,SMITHMOU 138KV - LEESVILL 138KV (LEESVILL 138 KV LEE-SMI1)
NPHILOSW138 KV  NPH-ZAN1,,NPHILOSW 138KV - ZANESVIL 138KV (NPHILOSW 138 KV NPH-ZAN1)
JOPPA XF 345/161KV L/O GRAHAMVILLE - JOPPA N3 854 161KV,,JOPPA 345KV - JOPPA 161KV (JOPPA 345 KV XFA)
RINGGOLD_T2_230T4_XF,AMOS_765 KV_6:AMOS 765-345KV XF #5,
BLACKLIC138 KV  BLA-GAH1,,GAHANNA 138KV - BLACKLIC 138KV (BLACKLIC 138 KV BLA-GAH1)
GOODLAND - REYNOLDS 138 KV L/O BUNSONVILLE - EUGENE 345 KV,,CasyW-Sullivan 345 kV l/o Bunsonvil-Eugene 345 kV
CRESCENT-MTNEBO Z-20        A  138 KV,,CARS DUQ 138KV - CARS DUQ 345KV (CARS DUQ 345 KV T1)
BERYL   138 KV  BER-CRS,BERYL_138 KV_BER-CRS:ACTUAL,BERYL 138KV - CROSSSCH 138KV (BERYL 138 KV BER-CRS)
115 BEDF345 KV  TR82CT-P,,
ASHTABUL138 KV  ASH-04S1,,SANBORN 138KV - ASHTABUL 138KV (ASHTABUL 138 KV ASH-04S2)
GRIFFIN4 138 KV GRIFFIN4-02PVALEY,,PLSNTVLY 138KV - GRIFFN 138KV (GRIFFN 138 KV GRI-02P2)
GARDEN PLAIN-15518 138 L/O H471-NELSON 15504 345,,Albany-Garden Plain 138 l/o Quad Cities-H471 345
NELSON 345/138 TR82 L/O NELSON-ELECTRIC JCT 345,,Mercer IP-Galesburg 161kV l/o Nelson-Electric Junction 345kV
143 WOLF TR81CT-S XFORMER   L  1 KV,,11102 138KV - 143 WOLF 138KV (11102 138 KV 11102 1)
SPOTSLV 500 KV  TX1,,SPOTSLV 115 KV  198A3
BLAIRSVE_138KVBLA-SOC_1_LN,,SOCIALHA 138KV - BLAIRSVE 138KV (BLAIRSVE 138 KV BLA-SOC)
50045005 58,,HOPECREE 230KV - SILVERUN 230KV (HOPECREE 230 KV HOP-SIL)
CALVERT 138 KV  CAL-KAN1,AMOS_345 KV_AMO-KAN1:L765.Baker-Broadford,CALVERT 138KV - KANKAKEE 138KV (CALVERT 138 KV CAL-KAN1)
AQUAHAR_230KVAQU-GAR1_1_LN,SB 74 6_161 KV_LN 4652:L345.Sub91-Davenport (MEC),
LAURELDP 69 KV LAURELDP-SHARP 6705-1,,SHARP 69KV - LAURELDP 69KV (LAURELDP 69 KV LAU-SHA)
PRESTON_69KVPRE-TAN_1_LN,,TANYARD 69KV - PRESTON 69KV (PRESTON 69 KV PRE-TAN)
NOTREDAM138 KV  NOT-SBE1,,OLIVE 138KV - OLIVE 1KV (OLIVE 138 KV 2-S)
BLANCO_69KVBLA-NEWM_1_LN,,BLANCO 69KV - NEWMERED 69KV (BLANCO 69 KV BLA-NEWM)
NORTHWOO 230 KV NORTHWOO 6 BANK XFORMER,,NORTHWOO 6 BANK   XFORMER   H  230 KV
OX4_T1_500TX2_XF,,
OST     138 KV  002-5R,OST_138 KV_002-5R:ACTUAL,OST     138 KV  002-5R
BIGPINET138 KV  BIG-KIS,,KISKIVAL 138KV - BIGPINET 138KV (BIGPINET 138 KV BIG-KIS)
HILL_AEP-NAGELAEP B 138 KV  .L/O  L500.BROADFORD-SULLIVAN(TVA) TIE,NAGELAEP_138 KV_NAG-WKI1:L500.Broadford-Sullivan (TVA) Tie,NAGELAEP 138KV - FORTROBI 138KV (FORTROBI 138 KV FOR-NAG1)
HAVILAND69 KV   HAV-NVA,,HAVILAND 69KV - PAULDING 69KV (HAVILAND 69 KV HAV-PAU)
HOOVERSV 115 KV HOOVERSV-TOWER51 H1H2 1071,,TOWER51 115KV - HOOVERSV 115KV (HOOVERSV 115 KV HOO-TOW)
TRENTON2138 KV  TRE-COL1,,COLLEGEC 138KV - TRENTON2 138KV (TRENTON2 138 KV TRE-COL1)
OAKGROVE_230KVOAK-TAL8_1_LN,,TALBERT 230KV - OAKGROVE 230KV (OAKGROVE 230 KV OAK-TAL8)
MAHANSLA_138KVMAH-TID_1_LN,,
WEFOSTOR138 KV WEF-02W1,,WEFOSTOR138 KV  WEF-02W1
ALLDAM6 138 KV ALLDAM6-KITTANNI SP-KT,,
PLEASNT 138 KV PLEASNT -STMARYS STM-PLE,,PLEASNT 138KV - STMARYS 138KV (PLEASNT 138 KV STM-PLE)
LOUDOUN4 500 KV LOUDOUN4 TX1 XFORMER,,LOUDOUN4 500KV - LOUDOUN4 230KV (LOUDOUN4 500 KV TX2)
DESOTO  345 KV  .  1,,DESOTO 345KV - DESOTO 138KV (DESOTO 345 KV .  1)
EVERETTS 230 KV EVERETTS-GREENVIL 218,,GREENVIL 230KV - EVERETTS 230KV (EVERETTS 230 KV 218)
CROZET 230 KV CROZET -BARRCKRD 291B,,BARRCKRD 230KV - CROZET 230KV (CROZET 230 KV 291B)
ALLENJUN138 KV  ALL-ALLE,,ALLENJUN 138KV - ALLENMOD 138KV (ALLENJUN 138 KV ALL-ALLE)
CARTANZA_230KVCAR-MIL_1_LN,,CARTANZA 230KV - MILFORD 230KV (CARTANZA 230 KV CAR-MIL)
SEWARD 115 KV SEWARD-TOWER51 H1H2 1097,,SEWARD 115KV - TOWER51 115KV (SEWARD 115 KV SEW-TOW)
SHENANGO 138 KV SHENANGO 36 CB,,SHENANGO 36           CB       138 KV
FLINT-PLYMOUTH 220-47 B 230 KV,,PLYMOUTH 230KV - FLINT 230KV (FLINT 230 KV FLI-PLY)
GREENWAY230 KV  2188B1,,SHELHORN 230KV - GREENWAY 230KV (GREENWAY 230 KV 2188B1)
CHARLTSV 230 KV CHARLTSV-PROFITDP 2054B1,CHARLTSV_230 KV_2054B1:ACTUAL,CHARLTSV 230KV - PROFITDP 230KV (CHARLTSV 230 KV 2054B1)
MARSHRUN230 KV  280A,,MARSHRUN 230KV - REMINGTN 230KV (MARSHRUN 230 KV 280A)
CECIL 138 KV CECIL-GLASGOW 13810,,CECIL 138KV - GLASGOW 138KV (CECIL 138 KV CEC-GLA)
SHAFFERS 138 KV SHAFFERS-SPRINGDA SP-KV,SHAFFERS_138 KV_SHA-SPR:L345.Armstrong-HomerCity,SPRINGDA 138KV - SHAFFERS 138KV (SHAFFERS 138 KV SHA-SPR)
DOEX530 345 KV  DOE-PIE2,DOEX530_345 KV_DOE-PIE2:ACTUAL,DOEX530 345KV - PIERCE 345KV (DOEX530 345 KV DOE-PIE2)
NEWCARLI138 KV  NEW-PLE,,NEWCARLI 138KV - PLETCHER 138KV (NEWCARLI 138 KV NEW-PLE)
DOEX530 345 KV  DOE-PIE2,DOEX530_345 KV_DOE-PIE2:ACTUAL,DOEX530 345KV - PIERCE 345KV (DOEX530 345 KV DOE-PIE2)
BRUNNERI 230 KV BRUNNERI-YORKANA 1055,,BRUNNERI 230KV - YORKANA 230KV (BRUNNERI 230 KV BRU-YOR)
CRES DUQ138 KV  CRE-MTN,,CRES DUQ 138KV - MT NEBO 138KV (CRES DUQ 138 KV CRE-MTN)
NOTTINGH 230 KV NOTTINGHM 2-3 SER DEV,,FACEROCK FAROZBR  SER DEV   A  69 KV
OLIVE   345 KV  OLI-OLIV,OLIVE_345 KV_OLI-OLIV:ACTUAL,
