market_index,market_record_id,market_constraint,dayzer_constraint,dayzer_confidence,dayzer_final_score,dayzer_ambiguity_flag,pano_constraint,pano_confidence,pano_final_score,pano_ambiguity_flag
1544,10017908844,YORKANA B43 CB  230 KV,,low,0.411111,True,YORKANA 230KV - OTTCRKPL 230KV (OTTCRKPL 230 KV OTT-YOR),low,0.611071,True
1545,10016017619,ELIMA   138 KV  ELI-NWL1,ELIMA_138 KV_ELI-NWL1:345/138.SouthWestLima.T2,medium,0.710227,True,ELIMA 138KV - NWLIMA 138KV (ELIMA 138 KV ELI-NWL1),high,0.860357,False
1546,10000568965,GEORGEWA 138 KV GEORGEWA-KAMMER2,GEORGEWA_138 KV_GEO-KAM:ACTUAL,low,0.633333,True,KAMMER2 138KV - GEORGEWA 138KV (GEORGEWA 138 KV GEO-KAM),high,0.890114,False
1547,10018296595,SAKRON  230 KV  7,SAKRON_230 KV_7:L500.Conastone-PeachBottom.5012,low,0.51,True,SAKRON 230KV - SAKRON 138KV (SAKRON 230 KV 7),medium,0.748333,True
1548,10016737102,NELSON 345/138 TR82 L/O NELSON-ELECTRIC JCT 345,,low,0.415873,True,Nelson 345/138 TR82 l/o Nelson-Electric Jct 345,low,0.664286,True
1549,10016242176,DESOTO  138 KV  DES-SEL,DESOTO_138 KV_DES-SEL:ACTUAL,medium,0.767143,False,DESOTO 138KV - SELMAPAR 138KV (DESOTO 138 KV DES-SEL),high,0.86369,False
1550,10002905261,CRANBERY138 KV  CRA-HOY,CRANBERY_138 KV_CRA-HOY:ACTUAL,low,0.561429,True,CRANBERY-HOYTDAL2 CRA-HOY   B  138 KV,medium,0.775604,True
1551,10000466698,YUKON 500 KV YUKON TRAN 2 XFORMER,YUKON_500 KV_TRAN 6:500/138.Yukon.TR5,low,0.633333,True,YUKON    TRAN  2  XFORMER   H  500 KV,high,0.925613,True
1552,10000686416,KERRDAM 115 KV 193D,KERRDAM_115 KV_193D:ACTUAL,medium,0.72,True,KERRDAM 115 KV  193D,medium,0.833333,True
1553,10016988400,DESOTO  345 KV  T2,DESOTO_345 KV_. 1:345/138.Desoto.T2,high,0.88,False,DESOTO 345KV - DESOTO 138KV (DESOTO 345 KV T2),low,0.508333,True
1554,10016660372,KUCHAR  138 KV  KUC-SIL,KUCHAR_138 KV_KUC-SIL:345/138.Olive.T2,medium,0.7375,True,KUCHAR 138KV - SILVERLK 138KV (KUCHAR 138 KV KUC-SIL),high,0.86553,False
1555,10003893370,SHENANGO138 KV  SHE-SHA1,SHENANGO_138 KV_SHE-SHA1:ACTUAL,low,0.596429,True,,low,0.417222,True
1556,10018985841,HAZARD_T2_1613_XF,,low,0.446429,True,,low,0.245,True
1557,10000566694,ALLDAM6 138 KV ALLDAM6-KITTANNI SP-KT,ALLDAM6_138 KV_ALL-KIT:ACTUAL,low,0.586154,True,ALLDAM6 138KV - KITTANNI 138KV (ALLDAM6 138 KV ALL-KIT),medium,0.849218,False
1558,10016923622,FRDRKSBG230 KV  2083A,,low,0.476667,True,,low,0.491667,True
1559,10016499794,50045005 59,,low,0.0,True,,low,0.3375,True
1560,10000569395,NEWCARLI 138 KV NEWCARLI-MAPLNIPS TIE,NEWCARLI_138 KV_NEW-MAP2:ACTUAL,low,0.586154,True,MAPLNIPS 138KV - NEWCARLI 138KV (NEWCARLI 138 KV NEW-MAP2),medium,0.849218,False
1561,10017121060,CUSHAW  115 KV  TX1,CUSHAW_115 KV_TX1:ACTUAL,medium,0.77,False,CUSHAW 115KV - CUSHAW 2KV (CUSHAW 115 KV TX1),low,0.508333,True
1562,10016662541,KEYSTONE B6 CB                 500 KV,,low,0.46,True,KEYSTONE B6 CB                 500 KV,high,0.9875,False
1563,10000566079,ETOWANDA 230 KV ETOWANDA-HILLSIDE 2002 TIE,ETOWANDA_230 KV_ETO-HIL:ACTUAL,low,0.58,True,ETOWANDA 230KV - HILLSIDE 230KV (ETOWANDA 230 KV ETO-HIL),medium,0.849542,False
1564,10002844054,LADYSMTH-ELMONT4 574A A 500 KV,LADYSMTH_500 KV_574A:ACTUAL,low,0.561429,True,ELMONT4 500KV - LADYSMTH 500KV (LADYSMTH 500 KV 574A),high,0.858929,False
1565,10015743499,ERDMAN  115 KV  ERD-PHI5,ERDMAN_115 KV_ERD-PHI5:ACTUAL,medium,0.807143,False,ERDMAN 115KV - PHILADRD 115KV (ERDMAN 115 KV ERD-PHI5),low,0.5475,True
1566,10019088475,BEDINGTO_T2_500TRAN4_XF,,low,0.361364,True,,low,0.441071,True
1567,10016447463,PRUNTYTO P11     CB      138 KV,,low,0.352381,True,YUKON    Y2           CB       138 KV,low,0.531667,True
1568,10016737941,FRANCISCO - DUFF 345 KV FLO GIBSON -ABBROWN 345 KV,,low,0.447902,True,Gibson-Francisco-345 kV l/o Gibson-Abbrown-345 kV,medium,0.797552,False
1569,10003951644,ELIMA   345 KV  2-P,ELIMA_345 KV_2-P:ACTUAL,medium,0.727143,True,ELIMA 345KV - ELIMA 1KV (ELIMA 345 KV 2-P),medium,0.83,False
1570,10016689909,CABINRUN230 KV  CAB-YARR,CABINRUN_230 KV_CAB-YARR:L230.Brambleton-PolandRoad.2183,low,0.522222,True,YARDRIDG 230KV - CABINRUN 230KV (CABINRUN 230 KV CAB-YARR),medium,0.737987,True
1571,10017082745,SWLIMA-WMOULTON             A  138 KV,,low,0.388889,True,SWLIMA 138KV - WMOULTON 138KV (SWLIMA 138 KV SWL-WMO1),medium,0.775604,False
1572,10019205291,SHELOCTA_T1_230NO2_XF,,low,0.365,True,,low,0.4625,True
1573,10017121235,BELLEAU - HUSTERA 138KV L/O LABADIE - MONTGOMERY 345KV,BELLEAU3_138 KV_LN 2656:Labadie - Montgomery 345kV,low,0.525,True,Montgomery-Enon Tap 345kV l/o Labadie-Montgomery 345kV,low,0.607692,True
1574,10019091875,SHENANGO_138KVSHE-CRO2_1_LN,,low,0.338889,True,SHENANGO 138KV - CROSSFE 138KV (SHENANGO 138 KV SHE-CRO2),low,0.533333,True
1575,10017144838,911INDUS138 KV  911-NEWC,,low,0.415714,True,NEWCASOE 138KV - 911INDUS 138KV (911INDUS 138 KV 911-NEWC),low,0.658333,True
1576,10018242156,51 MC CO345 KV  TR84_1,51 MC CO_345 KV_TR84_1:ACTUAL,low,0.596429,True,,low,0.465325,True
1577,10017410676,BATESVILLE - HUBBLE 138KV L/O EASTBEND - TERMINAL 345 KV,,low,0.412821,True,BATESVIL 138KV - HUBBLE 138KV (BATESVIL 138 KV BAT-HUB1),low,0.665152,True
1578,10002233505,AEP-DOM,AEP-DOM contingency 17 Amos.U1U2U3,low,0.542045,True,AEP-DOM contingency 33,medium,0.828571,True
1579,10017421570,PALISADES - ROOSEVELT 345KV L/O PALISADES - ARGENTA 2 345KV,,low,0.436364,True,Segreto-Palisades 2 345 kV l/o Segreto-Palisades 1 345 kV,low,0.605,True
1580,10016657998,CLAYTOR 138 KV  CLA-SCH1,CLAYTOR_138 KV_CLA-SCH1:765/138.JacksonsFerry.XF3,low,0.699038,True,CLAYTOR 138KV - SCHRISTI 138KV (CLAYTOR 138 KV CLA-SCH1),high,0.865278,False
1581,10016902722,APSOUTH CONTINGENCY 66,,low,0.473333,True,APSOUTH contingency 66,medium,0.825,False
1582,10019045664,EBEND_345KVEBE-TER1_1_LN,,low,0.361364,True,EBEND 345KV - TERMINAL 345KV (EBEND 345 KV EBE-TER1),low,0.533333,True
1583,10000565905,CLY 115 KV CLY-NEWBERRY 975-2,CLY_115 KV_CLY-NEW:ACTUAL,low,0.623333,True,CLY 115KV - NEWBERRY 115KV (CLY 115 KV CLY-NEW),high,0.915714,False
1584,10004177767,SHAWVILL115 KV  BNK 1A-S,SHAWVILL_115 KV_BNK 1A-S:ACTUAL,low,0.629487,True,SHAWVILL 1KV - SHAWVILL 115KV (SHAWVILL 115 KV BNK 1A-S),medium,0.783889,False
1585,10017175137,EDENSRID138 KV  EDE-IND1,EDENSRID_138 KV_EDE-IND1:ACTUAL,low,0.596429,True,,low,0.417222,True
1586,10001779404,TRENTON2 138 KV TRENTON2-HUTCHING TIE,TRENTON2_138 KV_TRE-HUT1:ACTUAL,low,0.612727,True,TRENTON2 138KV - HUTCHING 138KV (TRENTON2 138 KV TRE-HUT1),low,0.539177,True
1587,10018976746,IRONWOOD_230KVIRO-NLE_1_LN,,low,0.391667,True,,low,0.218182,True
1588,10016017620,CAPITALA138 KV  CAP-TWI,CAPITALA_138 KV_CAP-TWI:ACTUAL,low,0.596429,True,,low,0.422273,True
1589,10000570709,MTSTORM4 500 KV MTSTORM-PRUNTYTO,MTSTORM4_500 KV_MTS-PRU:ACTUAL,low,0.586154,True,PRUNTYTO 500KV - MTSTORM4 500KV (MTSTORM4 500 KV MTS-PRU),high,0.851783,False
1590,10017124082,MTZION  230 KV  MTZ-QUI4,MTZION_230 KV_MTZ-QUI4:L500.BurchesHill-PossumPoint.560,low,0.683333,True,MTZION 230KV - QUINCEOR 230KV (MTZION 230 KV MTZ-QUI4),high,0.860357,False
1591,10003892267,OLIVE-UNIVPARK A 345 KV,OLIVE_345 KV_OLI-OLIV:ACTUAL,low,0.511364,True,OLIVE   345 KV  OLI-UNI1,high,0.911868,False
1592,10019168697,PRUNTYTO_T3_500TRAN3_XF,,low,0.361364,True,,low,0.441071,True
1593,10000567139,SMIT APS 138 KV SMIT APS-WYLIERID 214/WYR,SMIT APS_138 KV_SMI-WYL:ACTUAL,low,0.636667,True,WYLIERID 138KV - SMIT APS 138KV (SMIT APS 138 KV SMI-WYL),high,0.878259,False
1594,10019093142,BUTL_APS_138KVBUT-KAR_1_LN,,low,0.44,True,BUTL APS 138KV - KARNSCIT 138KV (BUTL APS 138 KV BUT-KAR),low,0.591288,True
1595,10017458225,SHENANGO138 KV  SHE-CRO1,SHENANGO_138 KV_SHE-CRO1:345/138.Hoytdale.T2,low,0.555,True,SHENANGO 138KV - CROSSFE 138KV (SHENANGO 138 KV SHE-CRO1),medium,0.733333,True
1596,10017409749,CRISFIE 69 KV   CRI-KST,CRISFIE_69 KV_CRI-KST:ACTUAL,medium,0.807143,False,CRISFIE 69KV - KINGSTON 69KV (CRISFIE 69 KV CRI-KST),low,0.550833,True
1597,10016737387,GRAND MOUND - MAQUOKETA 161 KV L/O ROCK CREEK - SALEM 345 KV,,low,0.397436,True,,low,0.405357,True
1598,10000565919,GERMANTO 115 KV GERMANTO-STRABAN 998,GERMANTO_115 KV_GER-STR:ACTUAL,low,0.633333,True,STRABAN 115KV - GERMANTO 115KV (GERMANTO 115 KV GER-STR),high,0.892212,False
1599,10000826143,BLACKOAK 138 KV BLACKOAK-CROSSSCH BLA-CRS,BLACKOAK_138 KV_BLA-CRS:ACTUAL,low,0.663333,True,BLACKOAK 138KV - CROSSSCH 138KV (BLACKOAK 138 KV BLA-CRS),low,0.582436,True
1600,10015845742,FALCON  69 KV   FAL-20F1,FALCON_69 KV_FAL-20F1:ACTUAL,medium,0.767143,False,FALCON2 69KV - FALCON 69KV (FALCON 69 KV FAL-20F1),high,0.86369,False
1601,10017178273,BUREAU - LTVSTEEL 1552 138 KV,,low,0.478889,True,,low,0.454416,True
1602,10016753968,EDGEMOOR69 KV   EDG-WDPL,EDGEMOOR_69 KV_EDG-WDPL:ACTUAL,low,0.596429,True,,low,0.497222,True
1603,10017082959,GREYSPT 115 KV  GRE-RAP2,GREYSPT_115 KV_GRE-RAP2:L230.Fredericksburg-Birchwood.2083,low,0.683333,True,GREYSPT 115KV - RAPPAHAN 115KV (GREYSPT 115 KV GRE-RAP2),high,0.860357,False
1604,10000468612,STJOHNS4 230 KV STJOHNS4 TX2 XFORMER,STJOHNS4_230 KV_TX2:ACTUAL,low,0.596429,True,,low,0.415,True
1605,10016743817,SUGAR CREEK-DRESSER 345 KV L/O CAYUGA XF9,,low,0.436364,True,Sugar Creek-Dresser 345 kV l/o Cayuga XF9,high,0.95,False
1606,10004075045,NMESHOPP-OXBOW ETL A 230 KV,NMESHOPP_230 KV_NME-OXB:ACTUAL,low,0.586154,True,OXBOW 230KV - NMESHOPP 230KV (NMESHOPP 230 KV NME-OXB),high,0.854163,False
1607,10016465368,LAUSCHTO230 KV  LAU-SAK3,LAUSCHTO_230 KV_LAU-SAK3:L500.Conastone-PeachBottom.5012,low,0.522222,True,LAUSCHTO 230KV - SAKRON 230KV (LAUSCHTO 230 KV LAU-SAK3),medium,0.732937,True
1608,10018996794,EASTON_T1_138AT-1_XF,,low,0.391667,True,,low,0.279365,True
1609,10000566507,CLAYMONT 69 KV CLAYMONT-NAAMANS 6834,CLAYMONT_69 KV_CLA-NAA:ACTUAL,low,0.663333,True,CLAYMONT 69KV - NAAMANS 69KV (CLAYMONT 69 KV CLA-NAA),low,0.582436,True
1610,10016247157,74 KEWAN138 KV  7405 2,,low,0.175,True,74 KEWAN138 KV  7405 2,high,0.975,False
1611,10002899506,PIERC_DK345 KV  BK17,PIERC_DK_345 KV_BK17:ACTUAL,low,0.561429,True,PIERC_DK345 KV  BK17,medium,0.741484,True
1612,10000566651,PRESTON 69 KV PRESTON-TODD 6716-6,PRESTON_69 KV_PRE-TOD:ACTUAL,low,0.6875,True,PRESTON 69KV - TODD 69KV (PRESTON 69 KV PRE-TOD),high,0.93552,True
1613,10019662891,EDWSFERY_230KV23111_1_LN,,low,0.285,True,,low,0.483333,True
1614,10000469020,MIAMIFOR 345 KV MIAMIFOR 9 XFORMER,,low,0.476667,True,MIAMIFOR 9        XFORMER   H  345 KV,low,0.511039,True
1615,10000566965,GRANDPT 138 KV GRANDPOI-LETTERKE GRP-RX/R,GRANDPT_138 KV_GRA-LET:ACTUAL,low,0.536538,True,,low,0.485256,True
1616,10000640556,ARSENAL 345 KV ARSENAL -BRUNOTIS ARS-BRU1,ARSENAL_345 KV_ARS-BRU1:ACTUAL,low,0.6975,True,BRUNOTIS 345KV - ARSENAL 345KV (ARSENAL 345 KV ARS-BRU1),high,0.936154,False
1617,10004212652,CHARLTSV230 KV  233A1,,low,0.415714,True,CHARLTSV 230KV - HYDROAD 230KV (CHARLTSV 230 KV 233A1),low,0.647619,True
1618,10003797676,HUBBARDS138 KV  HUB-BIG1,HUBBARDS_138 KV_HUB-BIG1:L138.BigSandy-Inez,low,0.522222,True,HUBBARDS138 KV  HUB-BIG1,high,0.978571,False
1619,10015995541,FALLS   138 KV  FALL1TR,FALLS_138 KV_FALL1TR:ACTUAL,medium,0.77,False,FALLS 138KV - FALLS 35KV (FALLS 138 KV FALL1TR),low,0.51,True
1620,10017166504,EAKRON  138 KV  EAK-HAY,EAKRON_138 KV_EAK-HAY:ACTUAL,medium,0.767143,False,EAKRON 138KV - HAYELMRZ 138KV (EAKRON 138 KV EAK-HAY),high,0.86369,True
1621,10019093142,BUTL_APS_138KVBUT-KAR_1_LN,,low,0.436154,True,BUTL APS 138KV - KARNSCIT 138KV (BUTL APS 138 KV BUT-KAR),low,0.59186,True
1622,10018993343,BATTLEBO_115KV1001A_1_LN,,low,0.238889,True,,low,0.459341,True
1623,10000566631,NELSON 138 KV NELSON-VIENNA 13707,NELSON_138 KV_NEL-VIE:L138.Loretto-Vienna.13780,medium,0.731538,True,VIENNA 138KV - NELSON 138KV (NELSON 138 KV NEL-VIE),high,0.935128,False
1624,10018576043,CAYUGA3 - CAYUGA 345 KV L/O KANSAS - SUGAR CREEK 345 KV,CAYUGA2_345 KV_CAY-CAY2:Kansas - Sugar Creek 345 kV,low,0.525,True,CAYUGA3 345KV - CAYUGA2 345KV (CAYUGA2 345 KV CAY-CAY2),low,0.571501,True
1625,10016764616,GILBERT 115 KV  GIL-GLEN,GILBERT_115 KV_GIL-GLEN:L230.Gilbert-Springfield,medium,0.710227,True,GILBERT 115KV - GLENDON 115KV (GILBERT 115 KV GIL-GLEN),high,0.86369,False
1626,10019086905,LAYMAN_138KVLAY-WOL_1_LN,,low,0.361364,True,WOLFCREE 138KV - LAYMAN 138KV (LAYMAN 138 KV LAY-WOL),low,0.533333,True
1627,10000567115,PLEASNT 138 KV PLEASNT -STMARYS STM-PLE,PLEASNT_138 KV_STM-PLE:ACTUAL,low,0.692045,True,PLEASNT 138KV - STMARYS 138KV (PLEASNT 138 KV STM-PLE),high,0.935128,False
1628,10000679588,13 CRAWF 345 KV 45L1309M,,low,0.476667,True,,low,0.411111,True
1629,10000572183,HOYTDAL2 138 KV HOYTDAL2-MAPLEOE,HOYTDAL2_138 KV_HOY-MAP1:ACTUAL,low,0.633333,True,HOYTDAL2 138KV - MAPLEOE 138KV (HOYTDAL2 138 KV HOY-MAP1),high,0.887083,False
1630,10016433526,LEMOYNE2 B1           CB       345 KV,,low,0.330682,True,LEMOYNE2 B1           CB       345 KV,high,0.9875,False
1631,10016031844,GLASGOW 138 KV  GLA-KEE,GLASGOW_138 KV_GLA-KEE:ACTUAL,medium,0.807143,False,KEENEY 138KV - GLASGOW 138KV (GLASGOW 138 KV GLA-KEE),low,0.550833,True
1632,10016024214,DAVISBES B34562 345 KV,,low,0.433333,True,DAVISBES B34562 345 KV,medium,0.763333,False
1633,10002891576,JUNIATA 2 XFORMER H 500 KV,,low,0.441667,True,JUNIATA  1        XFORMER   H  500 KV,high,1.0,False
1634,10004194634,FACEROCK69 KV   FAROZBR,,low,0.46,True,FACEROCK69 KV   FAROZBR,high,0.983333,False
1635,10004184841,COOPERPE230 KV  COO-GRA,COOPERPE_230 KV_COO-GRA:ACTUAL,low,0.561429,True,GRACETON 230KV - COOPERPE 230KV (COOPERPE 230 KV COO-GRA),medium,0.737987,True
1636,10019063035,ASPENSLR_115KVASP-ROXB_1_LN,,low,0.358333,True,ASPENSLR 115KV - ROXBURY 115KV (ASPENSLR 115 KV ASP-ROXB),low,0.535294,True
1637,10016922866,MASURY  138 KV  MAS-CRO1,MASURY_138 KV_MAS-CRO1:L345.Hoytdale-McClelland,low,0.683333,True,CROSSFE 138KV - MASURY 138KV (MASURY 138 KV MAS-CRO1),high,0.860357,False
1638,10000566795,BURMA 115 KV BURMA-PINEY BA,BURMA_115 KV_BUR-PIN:ACTUAL,low,0.637879,True,BURMA 115KV - PINEY 115KV (BURMA 115 KV BUR-PIN),high,0.891319,False
1639,10019135469,IDYLWOO4_230KV202A_1_LN,,low,0.238889,True,,low,0.459341,True
1640,10018987749,HAMPSHIR_138KVHAM-RID_1_LN,,low,0.391667,True,,low,0.218182,True
1641,10003951044,CLOVERD2345 KV  3,,low,0.15,True,CLOVERD2345 KV  11A,medium,0.819444,True
1642,10016661131,EDINBUR4138 KV  TX4,,low,0.388889,True,EDINBUR4138 KV  TX3,low,0.69119,True
1643,10019385828,0704_07013807043_1_LN,,low,0.405,True,,low,0.475,True
1644,10016659330,OLIVE   345 KV  OLI-OLIV,OLIVE_345 KV_OLI-OLIV:ACTUAL,medium,0.767143,False,OLIVUNPA 345KV - OLIVE 345KV (OLIVE 345 KV OLI-OLIV),high,0.86369,False
1645,10004059506,TANNERSC345 KV  TAN-MIA1,TANNERSC_345 KV_TAN-MIA1:ACTUAL,low,0.561429,True,TANNERSC345 KV  TAN-MIA1,high,0.870238,False
1646,10018758632,STILLWELL - DUMONT 345KV L/O DUMONT - ELDERBERRY 345KV,STILLWEL_345 KV_. 1:Dumont-Stillwell 345 kV,low,0.519444,True,Stillwell 345/138 l/o Stillwell-Dumont 345,low,0.640833,True
1647,10000570017,FOURRIVR 230 KV FOURRIVR-STJOHNS4 256A,FOURRIVR_230 KV_256A:L500.Midlothian-NorthAnna.576,low,0.522222,True,FOURRIVR 230KV - STJOHNS4 230KV (FOURRIVR 230 KV 256A),high,0.858929,False
1648,10016006396,DOEX530 345 KV  DOE-PIE1,DOEX530_345 KV_DOE-PIE1:ACTUAL,medium,0.767143,False,DOEX530 345KV - PIERCE 345KV (DOEX530 345 KV DOE-PIE1),high,0.855357,False
1649,10000571390,EBEND 345 KV EBEND-TERMINAL,EBEND_345 KV_EBE-TER1:ACTUAL,low,0.692045,True,EBEND 345KV - TERMINAL 345KV (EBEND 345 KV EBE-TER1),high,0.93303,False
1650,10000569395,NEWCARLI 138 KV NEWCARLI-MAPLNIPS TIE,NEWCARLI_138 KV_NEW-MAP2:ACTUAL,low,0.612727,True,MAPLNIPS 138KV - NEWCARLI 138KV (NEWCARLI 138 KV NEW-MAP2),low,0.540734,True
1651,10003893610,WAYNECK 161 KV  WAY-WYEK,WAYNECK_161 KV_WAY-WYEK:ACTUAL,medium,0.807143,False,WAYNECK 161KV - WYNCO_EK 161KV (WAYNECK 161 KV WAY-WYEK),low,0.513636,True
1652,10016469113,EMPORIA 115 KV  TX2,EMPORIA_115 KV_TX2:ACTUAL,medium,0.77,False,EMPORIA 115KV - EMPORIA 13KV (EMPORIA 115 KV TX2),low,0.51,True
1653,10016862788,LAFAYETTE 138/230 TR1 FLO SORENSON-MARYSVIL 765KV,,low,0.316364,True,SORENSON 765KV - SORENSON 345KV (SORENSON 765 KV XF3),low,0.618077,True
1654,10019084201,EWAYNESB_138KVEWA-RIN_1_LN,,low,0.358333,True,RINGGOLD 138KV - EWAYNESB 138KV (EWAYNESB 138 KV EWA-RIN),low,0.535294,True
1655,10000569646,TILTONS2 138 KV TILTONS2-WBELLAI2,TILTONS2_138 KV_TIL-WBE1:ACTUAL,low,0.663333,True,WBELLAI2 138KV - TILTONS2 138KV (TILTONS2 138 KV TIL-WBE1),low,0.571905,True
1656,10016737328,NORTHLAKEGEORGE-BURLINGTON L/O UNIVERSITY-MUKWONAGO 138KV,BRLGTN43_138 KV_39267393:University-Mukwonago 138kV,low,0.6,True,NLK GV 3 138KV - BRLGTN43 138KV (BRLGTN43 138 KV 39267393),low,0.565,True
1657,10003893277,LAYTOJCT138 KV  LAY-SMI,LAYTOJCT_138 KV_LAY-SMI:ACTUAL,low,0.561429,True,SMITHTON 138KV - LAYTOJCT 138KV (LAYTOJCT 138 KV LAY-SMI),medium,0.740714,True
1658,10018996788,02FOWLES_138KV02F-02P1_1_LN,,low,0.361364,True,02FOWLES 138KV - PLSNTVLY 138KV (02FOWLES 138 KV 02F-02P1),low,0.533333,True
1659,10000570180,WHITESTN 115 KV WHITESTN-HARMONYV 65A,,low,0.194444,True,WHITESTN-HARMONYV 65A       B  115 KV,high,0.915201,False
1660,10019069176,AQUAHAR_230KVAQU-GAR1_1_LN,,low,0.361364,True,AQUAHAR 230KV - GARRSNV 230KV (AQUAHAR 230 KV AQU-GAR1),low,0.533333,True
1661,10019108034,CRES_DUQ_138KVCRE-MTN_1_LN,,low,0.432857,True,CRES DUQ 138KV - MT NEBO 138KV (CRES DUQ 138 KV CRE-MTN),low,0.569091,True
1662,10016024702,EBERSOLE138 KV  EBE-FOS2,EBERSOLE_138 KV_EBE-FOS2:ACTUAL,low,0.596429,True,,low,0.498571,True
1663,10017424893,STATE LINE-WOLF LAKE 138 KV L/O STATE LINE-ROXANA 138 KV,7 STATE_138 KV_STA-17R1:138L13803 State Line-Wolf Lake 138 kV Line,low,0.554545,True,7 STATE 138KV - 17WOLFLK 138KV (7 STATE 138 KV STA-17W1),low,0.581259,True
1664,10019292340,HYATTCS_345KVMAR-HYA2_1_LN,,low,0.336923,True,MARYSVI2 345KV - HYATTCS 345KV (HYATTCS 345 KV MAR-HYA2),low,0.533333,True
1665,10016433309,BENTONHA138 KV  BEN-CRY1,BENTONHA_138 KV_BEN-CRY1:L138.Riverside-MainStreet,low,0.522222,True,BENTONHA 138KV - CRYSTAL 138KV (BENTONHA 138 KV BEN-CRY1),medium,0.732937,True
1666,10000566138,LENOX 115 KV LENOX-NMESHOPP NML 1090,LENOX_115 KV_LEN-NME:ACTUAL,low,0.663333,True,NMESHOPP 115KV - LENOX 115KV (LENOX 115 KV LEN-NME),low,0.579231,True
1667,10000566236,BRIGHTON 230 KV BRIGHTON-MTZION 23123,BRIGHTON_230 KV_BRI-MTZ3:ACTUAL,low,0.663333,True,BRIGHTON 230KV - MTZION 230KV (BRIGHTON 230 KV BRI-MTZ3),low,0.579697,True
1668,10017404341,LACLEDESTEEL N-TP-MORO 138KV L/O MORO-ROXFORD 345KV,,low,0.446382,True,MORO2 138KV - LAC N T3 138KV (LAC N T3 138 KV LAC-MORO),low,0.687857,True
1669,10000569219,LAKIN 138 KV LAKIN-SPORNAEP,LAKIN_138 KV_LAK-SPO1:ACTUAL,low,0.6975,True,SPORNAEP 138KV - LAKIN 138KV (LAKIN 138 KV LAK-SPO1),high,0.936154,False
1670,10016737101,NELSON TR84 345/138 KV L/O NELSON-H471 345 KV,15518_138 KV_15518 2:345L15504 Nelson-H471 345 kV Line,low,0.565873,True,94 HAURD 138KV - 11323 138KV (94 HAURD 138 KV 11323),low,0.502273,True
1671,10000566722,BEDINGTO 500 KV BEDINGTO-BLACKOAK 500KV,BEDINGTO_500 KV_BED-BLA:Keystone-Juniata 500kV,low,0.636667,True,BED-BLA contingency 19,low,0.658182,True
1672,10016247089,ASHBURN 230 KV  227A,,low,0.435,True,ASHBURN 230 KV  227A,high,0.978571,False
1673,10016459916,YUKON    TRAN  2  XFORMER   H  500 KV,YUKON_500 KV_TRAN 6:500/138.Yukon.TR5,low,0.557792,True,YUKON    TRAN  4  XFORMER   H  500 KV,high,0.994444,True
1674,10016432045,DELAWAIM T            CB       138 KV,,low,0.388889,True,DELAWAIM T            CB       138 KV,high,0.9875,False
1675,10000568661,COOK 345 KV COOK-OLIVE,COOK_345 KV_COO-OLI1:ACTUAL,low,0.692045,True,OLIVE 345KV - COOK 345KV (COOK 345 KV COO-OLI1),high,0.93303,False
1676,10000467931,BRISTERS 500 KV BRISTERS TX1 XFORMER,BRISTERS_500 KV_TX1:L500.Bristers-Ox.539,low,0.555,True,BRISTERS 500KV - BRISTERS 230KV (BRISTERS 500 KV TX1),medium,0.741667,True
1677,10000567115,PLEASNT 138 KV PLEASNT -STMARYS STM-PLE,PLEASNT_138 KV_STM-PLE:ACTUAL,low,0.692045,True,PLEASNT 138KV - STMARYS 138KV (PLEASNT 138 KV STM-PLE),high,0.935128,False
1678,10000497326,71 HIGGI 138 KV 71 HIGGIN 38L4607 LK,,low,0.385714,True,,low,0.326667,True
1679,10018806085,PHILO   138 KV  PHI-WPH,PHILO_138 KV_PHI-WPH:L138.OhioCentral-Powelson,low,0.683333,True,PHILO 138KV - WPHILO 138KV (PHILO 138 KV PHI-WPH),high,0.86369,False
1680,10000465321,CROMBY 230 KV CROMBY CROM5TR XFORMER,CROMBY_230 KV_CROM5TR:ACTUAL,low,0.633333,True,CROMBY  230 KV  CROM5TR,medium,0.830357,True
1681,10002487670,SPORNAEP138 KV SPO-RUT1,SPORNAEP_138 KV_SPO-RUT1:ACTUAL,low,0.596429,True,SPORNAEP138 KV  SPO-RUT1,low,0.660606,True
1682,10002678538,116 GOOD345 KV 11620,,low,0.2,True,116 GOOD345 KV  11620,low,0.645833,True
1683,10003951043,BIGPINET138 KV  BIG-GAR,BIGPINET_138 KV_BIG-GAR:L345.Ashtabula-Perry,low,0.522222,True,BIGPINET 138KV - GARRNJCT 138KV (BIGPINET 138 KV BIG-GAR),medium,0.737987,True
1684,10000565476,COLU PL 230 KV COLU PL-MONTOUR,COLU PL_230 KV_COL-MON:ACTUAL,medium,0.760909,False,MONTOUR 230KV - COLU PL 230KV (COLU PL 230 KV COL-MON),low,0.637662,True
1685,10000568636,COLLEGEC 138 KV COLLEGEC-COLLINSV,COLLEGEC_138 KV_COL-COL6:ACTUAL,low,0.633333,True,COLLEGEC 138KV - COLLINSV 138KV (COLLEGEC 138 KV COL-COL6),high,0.890114,False
1686,10002883701,63 SAWYE138 KV  1324 2,,low,0.216667,True,63 SAWYE138 KV  1322 6,low,0.639286,True
1687,10019135469,IDYLWOO4_230KV202A_1_LN,,low,0.238889,True,,low,0.459341,True
