market_index,market_record_id,market_constraint,dayzer_constraint,dayzer_confidence,dayzer_final_score,dayzer_ambiguity_flag,pano_constraint,pano_confidence,pano_final_score,pano_ambiguity_flag
44,10016432828,CEDARCRE230 KV  CED-SIL,CEDARCRE_230 KV_CED-SIL:ACTUAL,low,0.561429,True,CEDARCRE230 KV  CED-RED,medium,0.813889,False
45,10000565077,LINVFT 230 KV LINVFT -VFT_ST LIN-VFT1,LINVFT_230 KV_LIN-VFT1:ACTUAL,low,0.663333,True,VFT_ST 230KV - LINVFT 230KV (LINVFT 230 KV LIN-VFT1),low,0.630886,True
46,10016743579,STILLWELL-DUMONT 345 L/O WILTON CENTER-DUMONT 765,12204_138 KV_12204 2:L765.Dumont-Wilton Center.11215,low,0.506061,True,Michigan City - DuneAcre 138 kV l/o Dumont - Wilton Center 765 kV,low,0.6375,True
47,10003891598,FREMNT  138 KV  FRE-WFR1,FREMNT_138 KV_FRE-WFR1:ACTUAL,medium,0.807143,False,WFREMONT 138KV - FREMNT 138KV (FREMNT 138 KV FRE-WFR1),low,0.548106,True
48,10016050327,PA-CENT CONTINGENCY 1,,low,0.321538,True,TRANSFER INTERFACE: PA-CENT,low,0.615604,True
49,10018420307,74 KEWAN B1Z1 DIS             138 KV,,low,0.388889,True,74 KEWAN B1Z5 DIS              138 KV,medium,0.829167,False
50,10016736777,SUB85_SUB18_161_FLO_OAKGROVE_LOUISA_345,,low,0.326667,True,,low,0.345055,True
51,10016743581,POWERTON-TOWERLINE 138 KV L/O FARGO-SANDBURG 345 KV,,low,0.475253,True,,low,0.480519,True
52,10002883601,12 DRESDEN 45TR81 CT H 345 KV,,low,0.348864,True,12 DRESDEN  45TR81 CT       H  345 KV,medium,0.758929,False
53,10016462075,KINGSTON69 KV   KST-WOR,KINGSTON_69 KV_KST-WOR:ACTUAL,low,0.596429,True,,low,0.422273,True
54,10016821000,SHADELAND-LAFAYETTE SOUTH 13808 L/O WESTWOOD-NW TAP 13806,,low,0.235714,True,Northwest Tap - Purdue 138 kV l/o Westwood - W Lafayette 138 kV,low,0.590476,True
55,10000570180,WHITESTN 115 KV WHITESTN-HARMONYV 65A,,low,0.211111,True,WHITESTN-HARMONYV 65A       B  115 KV,high,0.915201,False
56,10002891576,JUNIATA 2 XFORMER H 500 KV,,low,0.476667,True,JUNIATA  1        XFORMER   H  500 KV,medium,0.79619,False
57,10015745371,GARRETAP-GARRETT B 115 KV,GARRETAP_115 KV_GAR-GAR:ACTUAL,low,0.596429,True,GARRETAP 115KV - GARRETT 115KV (GARRETAP 115 KV GAR-GAR),low,0.554773,True
58,10004183718,MEHOOPAN115 KV  MEH-NME1,MEHOOPAN_115 KV_MEH-NME1:ACTUAL,low,0.561429,True,MEHOOPAN 115KV - NMESHOPP 115KV (MEHOOPAN 115 KV MEH-NME1),medium,0.730714,True
59,10018280441,GRACETON230 KV  GRA-MANO,GRACETON_230 KV_GRA-MANO:500/230.Conastone.500-2,low,0.581429,True,GRACETON230 KV  GRA-SAF,medium,0.765604,True
60,10002384305,NOTTINGH 230 KV NOTTINGHM 2-3 SER DEV,,low,0.481905,True,NOTTINGHM 1-3 SER DEV       A  230 KV,high,0.8675,True
61,10002923086,CONASTON-PEACHBOT 5012 A 500 KV,CONASTON_500 KV_CNS-PEA:ACTUAL,low,0.663333,True,PEACHBOT 500KV - CONASTON 500KV (CONASTON 500 KV CNS-PEA),low,0.582436,True
62,10000580360,CEDARGRO 230 KV CEDARGRO-CLIF B-2228-3 PS,CEDARGRO_230 KV_CED-CLIB:ACTUAL,low,0.58,True,CEDARGRO 230KV - CLIF PS 230KV (CEDARGRO 230 KV CED-CLIB),high,0.907955,False
63,10016686709,BRIGHTON 6AB           CB      500 KV,,low,0.395238,True,BRIGHTON 500KV - BRIGHTON 230KV (BRIGHTON 500 KV NO.3TR),low,0.615833,True
64,10017109512,TURKEY HILL-HILGARD 138 KV L/O PRAIRIE STATE-MT VERNON 345 KV,PRES_138 KV_PRE-TIBB:Prairie State-W Mt. Vernon 345,low,0.533824,True,Turkey Hill-Mascouta 138 kV l/o Prairie State-Mt Vernon 345 kV,high,0.888194,False
65,10016737063,SANDBURG XFMR 3 161/138 KV L/O OAK GROVE - SANDBURG 345 KV,,low,0.45,True,Burr Oak 345/138 kV xfmr l/o Burr Oak-Leesburg 345 kV,low,0.551169,True
66,10003951045,BIGPINET138 KV  BIG-KIS,BIGPINET_138 KV_BIG-KIS:ACTUAL,low,0.552198,True,BIGPINET 138KV - KISKIVAL 138KV (BIGPINET 138 KV BIG-KIS),medium,0.742273,True
67,10002923086,CONASTON-PEACHBOT 5012 A 500 KV,CONASTON_500 KV_CNS-PEA:500/230.Conastone.500-2,low,0.65,True,PEACHBOT 500KV - CONASTON 500KV (CONASTON 500 KV CNS-PEA),high,0.892212,False
68,10002508920,CHARLTSV 230 KV CHARLTSV-PROFITDP 2054B1,CHARLTSV_230 KV_2054B1:ACTUAL,low,0.561429,True,CHARLTSV 230KV - PROFITDP 230KV (CHARLTSV 230 KV 2054B1),high,0.86369,False
