market_constraint,match_source,matched_constraint,confidence,total_score,facility_score,contingency_score,voltage_match,zone_overlap,second_best_score,ambiguous
74 KEWAN B1Z1 DIS              138 KV,dayzer,74 KEWAN_138 KV_L9430:ACTUAL,low,0.3167,0.3333,0.0,1.0,0.0,0.2929,True
4 QUAD C345 KV  TR2 18,pano,4 QUAD C345 KV  0403,medium,0.63,0.8,0.0,1.0,0.8,0.63,True
4 QUAD C345 KV  TR2 18,dayzer,4 QUAD C_345 KV_TR2 18:ACTUAL,medium,0.5633,0.6667,0.0,1.0,0.8,0.43,False
FACEROCK69 KV   FAROZBR,pano,FACEROCK69 KV   FAROZBR,high,0.9667,1.0,1.0,1.0,0.6667,0.9214,True
FACEROCK69 KV   FAROZBR,dayzer,FACEROCK_69 KV_FAROZBR:500/230.Conastone.500-4,low,0.35,0.4,0.0,1.0,0.0,0.35,True
CHAPRLTP 230 KV CHAPRLTP-CARSON4 249B,pano,CARSON4 230KV - CHAPRLTP 230KV (CHAPRLTP 230 KV 249B),high,0.8321,0.75,1.0,1.0,0.5714,0.75,False
CHAPRLTP 230 KV CHAPRLTP-CARSON4 249B,dayzer,CHAPRLTP_230 KV_249B:L500.Carson-Midlothian.563,low,0.3722,0.4444,0.0,1.0,0.0,0.3722,True
GARDNERS 115 KV GARDNERS-TEXSEAST GAR-TEX,pano,TEXSEAST 115KV - GARDNERS 115KV (GARDNERS 115 KV GAR-TEX),high,0.8833,0.8,1.0,1.0,0.8333,0.8333,True
GARDNERS 115 KV GARDNERS-TEXSEAST GAR-TEX,dayzer,GARDNERS_115 KV_GAR-TEX:ACTUAL,medium,0.5056,0.6667,0.0,1.0,0.2222,0.475,True
BENTONHA138 KV  BEN-WES1,pano,BENTONHA138 KV  BEN-RIV2,medium,0.55,0.6667,0.0,1.0,0.6667,0.5405,True
BENTONHA138 KV  BEN-WES1,dayzer,BENTONHA_138 KV_BEN-WES1:ACTUAL,medium,0.4757,0.5714,0.0,1.0,0.4,0.3722,False
177 BURN 345 KV BURNHAM-MUNSTER2 TIE,pano,Maroa -E GooseCreek 345 kV l/o Wilton Center-Dumont 765 kV,medium,0.65,0.5,1.0,1.0,0.0,0.5857,False
177 BURN 345 KV BURNHAM-MUNSTER2 TIE,dayzer,MUNSTER2_345 KV_A:L765.Dumont-Wilton Center.11215,low,0.4357,0.5714,0.0,1.0,0.0,0.4,True
CONASTON 230 KV CONASTON-NORTHWES 2322,pano,CONASTON230 KV  CNS-NOR2,high,0.7644,0.75,0.6667,1.0,0.7273,0.76,True
CONASTON 230 KV CONASTON-NORTHWES 2322,dayzer,CONASTON_230 KV_CNS-NOR2:230/115.Northwest.230-3,medium,0.4833,0.6667,0.0,1.0,0.0,0.4833,True
GRACETON_230KVGRA-MANO_1_LN,pano,MANOR 230KV - GRACETON 230KV (GRACETON 230 KV GRA-MANO),medium,0.4722,0.4444,1.0,0.0,0.0,0.4167,False
GRACETON_230KVGRA-MANO_1_LN,dayzer,GRACETON_230 KV_GRA-MANO:500/230.Conastone.500-4,low,0.25,0.5,0.0,0.0,0.0,0.25,True
ETOWANDA-HILLSIDE 2002 TIE  A   230 KV,pano,ETOWANDA 230KV - HILLSIDE 230KV (ETOWANDA 230 KV ETO-HIL),high,0.7071,0.5,1.0,1.0,0.5714,0.5764,False
ETOWANDA-HILLSIDE 2002 TIE  A   230 KV,dayzer,ETOWANDA_230 KV_4 TX:L230.ETowanda-Hillside.2002 [NYISO],low,0.42,0.5,0.0,1.0,0.2,0.42,True
CEDARCRE230 KV  CED-SIL,pano,CEDARCRE230 KV  CED-RED,high,0.7778,0.6667,1.0,1.0,0.4444,0.75,True
CEDARCRE230 KV  CED-SIL,dayzer,CEDARCRE_230 KV_CED-SIL:ACTUAL,medium,0.4607,0.5714,0.0,1.0,0.25,0.4008,False
LINVFT 230 KV LINVFT -VFT_ST LIN-VFT1,pano,VFT_ST 230KV - LINVFT 230KV (LINVFT 230 KV LIN-VFT1),medium,0.6712,0.9091,0.0,1.0,0.6667,0.4477,False
LINVFT 230 KV LINVFT -VFT_ST LIN-VFT1,dayzer,LINVFT_230 KV_LIN-VFT1:ACTUAL,medium,0.5167,0.6667,0.0,1.0,0.3333,0.4056,False
STILLWELL-DUMONT 345 L/O WILTON CENTER-DUMONT 765,pano,Michigan City - DuneAcre 138 kV l/o Dumont - Wilton Center 765 kV,medium,0.5833,0.6667,1.0,0.0,0.0,0.5833,True
STILLWELL-DUMONT 345 L/O WILTON CENTER-DUMONT 765,dayzer,12204_138 KV_12204 2:L765.Dumont-Wilton Center.11215,low,0.3333,0.6667,0.0,0.0,0.0,0.3,True
FREMNT  138 KV  FRE-WFR1,pano,WFREMONT 138KV - FREMNT 138KV (FREMNT 138 KV FRE-WFR1),medium,0.5917,0.75,0.0,1.0,0.6667,0.5917,True
FREMNT  138 KV  FRE-WFR1,dayzer,FREMNT_138 KV_FRE-WFR1:ACTUAL,medium,0.6119,0.8571,0.0,1.0,0.3333,0.525,False
PA-CENT CONTINGENCY 1,pano,PA-CENT contingency 2,medium,0.6333,1.0,0.3333,0.0,0.5,0.6333,True
PA-CENT CONTINGENCY 1,dayzer,TRANSFER INTERFACE: PA-CENT:L500.ALBURTIS-JUNIATA.5009,low,0.25,0.4,0.0,0.0,0.5,0.2333,True
74 KEWAN B1Z1 DIS             138 KV,pano,74 KEWAN B1Z5 DIS              138 KV,high,0.8083,0.6667,1.0,1.0,0.75,0.5873,False
