market_record_id,market_index,market_constraint,match_source,candidate_record_id,candidate_index,candidate_constraint,facility_score,contingency_score,voltage_match,voltage_near_match,token_overlap,zone_overlap,interface_keyword_match,embedding_similarity,rule_score,rule_score_v1,rule_score_v2,best_score,second_best_score,score_margin,ambiguity_flag,manual_label,review_notes
10003891598,47,FREMNT  138 KV  FRE-WFR1,pano,3316,3315,WFREMONT 138KV - FREMNT 138KV (FREMNT 138 KV FRE-WFR1),0.75,0.0,1.0,1.0,0.545455,0.666667,0.0,,0.548106,0.591667,0.548106,0.548106,0.5475,0.0006059999999999954,True,,
10016050327,48,PA-CENT CONTINGENCY 1,dayzer,5109442,13172,TRANSFER INTERFACE: PA-CENT:L500.ALBURTIS-JUNIATA.5009,0.4,0.0,0.0,0.0,0.615385,0.5,0.0,,0.321538,0.25,0.321538,0.321538,0.306154,0.015384000000000009,True,,
10016050327,48,PA-CENT CONTINGENCY 1,pano,3490,3489,TRANSFER INTERFACE: PA-CENT,0.571429,1.0,0.0,0.0,0.769231,0.4,0.0,,0.615604,0.575714,0.615604,0.615604,0.608333,0.0072710000000000274,True,,
10018420307,49,74 KEWAN B1Z1 DIS             138 KV,dayzer,519671,3147,74 KEWAN_138 KV_L9430:ACTUAL,0.333333,0.0,1.0,1.0,0.222222,0.0,0.0,,0.388889,0.316667,0.388889,0.388889,0.375714,0.013174999999999992,True,,
10016736777,50,SUB85_SUB18_161_FLO_OAKGROVE_LOUISA_345,dayzer,553984,12354,SB 71 6_161 KV_62230622:L345.Oakgrove-Louisa (MEC),0.4,0.0,0.0,0.0,0.666667,0.333333,0.0,,0.326667,0.233333,0.326667,0.326667,0.326667,0.0,True,,
10016736777,50,SUB85_SUB18_161_FLO_OAKGROVE_LOUISA_345,pano,2206,2205,SB 71  6 161KV - SB 88  6 161KV (SB 71  6 161 KV 62230622),0.0,1.0,0.0,0.0,0.615385,0.285714,0.0,,0.345055,0.278571,0.345055,0.345055,0.342857,0.0021979999999999777,True,,
10016743581,51,POWERTON-TOWERLINE 138 KV L/O FARGO-SANDBURG 345 KV,pano,5071,5070,81 TOULO 138KV - 3 POWERT 138KV (81 TOULO 138 KV 0321X),0.0,1.0,1.0,1.0,0.428571,0.181818,0.0,,0.480519,0.418182,0.480519,0.480519,0.479762,0.0007569999999999522,True,,
10002883601,52,12 DRESDEN 45TR81 CT H 345 KV,dayzer,533822,8592,93 LORET_345 KV_11212:L345.12 Dresden-900 Elwood.1222,0.25,0.0,1.0,1.0,0.363636,0.0,0.0,,0.348864,0.275,0.348864,0.348864,0.348864,0.0,True,,
10016821000,54,SHADELAND-LAFAYETTE SOUTH 13808 L/O WESTWOOD-NW TAP 13806,dayzer,553803,12188,08LAFYTE_138 KV_08L-LAF2:Westwood-08NW_Tap-WLafyett 138,0.285714,0.0,0.0,0.0,0.5,0.0,0.0,,0.235714,0.142857,0.235714,0.235714,0.235714,0.0,True,,
10016821000,54,SHADELAND-LAFAYETTE SOUTH 13808 L/O WESTWOOD-NW TAP 13806,pano,4866,4865,Northwest Tap - Purdue 138 kV l/o Westwood - W Lafayette 138 kV,0.571429,1.0,0.0,0.0,0.666667,0.0,0.0,,0.590476,0.535714,0.590476,0.590476,0.555388,0.03508800000000001,True,,
10000570180,55,WHITESTN 115 KV WHITESTN-HARMONYV 65A,dayzer,552570,11388,HARMONYV_230 KV_TX2:L230.Fredericksburg-Birchwood.2083,0.222222,0.0,0.0,0.0,0.666667,0.0,0.0,,0.211111,0.111111,0.211111,0.211111,0.166667,0.044443999999999984,True,,
10002891576,56,JUNIATA 2 XFORMER H 500 KV,dayzer,550675,10150,JUNIATA_500 KV_2:500/230.Juniata.T1,0.4,0.0,1.0,1.0,0.666667,0.0,0.0,,0.476667,0.35,0.476667,0.476667,0.443333,0.03333400000000003,True,,
10015745371,57,GARRETAP-GARRETT B 115 KV,pano,5260,5259,GARRETAP 115KV - GARRETT 115KV (GARRETAP 115 KV GAR-GAR),0.75,0.0,1.0,1.0,0.545455,0.8,0.0,,0.554773,0.605,0.554773,0.554773,0.553864,0.0009089999999999376,True,,
10004183718,58,MEHOOPAN115 KV  MEH-NME1,dayzer,520299,3639,MEHOOPAN_115 KV_MEH-NME1:ACTUAL,0.571429,0.0,1.0,1.0,0.4,0.0,0.0,,0.561429,0.435714,0.561429,0.561429,0.522222,0.03920699999999999,True,,
10018280441,59,GRACETON230 KV  GRA-MANO,dayzer,533620,8444,GRACETON_230 KV_GRA-MANO:500/230.Conastone.500-2,0.571429,0.0,1.0,1.0,0.6,0.285714,0.0,,0.581429,0.464286,0.581429,0.581429,0.581429,0.0,True,,
10002923086,61,CONASTON-PEACHBOT 5012 A 500 KV,dayzer,101336,338,CONASTON_500 KV_CNS-PEA:ACTUAL,0.666667,0.0,1.0,1.0,0.8,0.444444,0.0,,0.663333,0.527778,0.663333,0.663333,0.643333,0.019999999999999907,True,,
10002923086,61,CONASTON-PEACHBOT 5012 A 500 KV,pano,8646,8645,PEACHBOT 500KV - CONASTON 500KV (CONASTON 500 KV CNS-PEA),0.8,0.0,1.0,1.0,0.615385,0.833333,0.0,,0.582436,0.633333,0.582436,0.582436,0.581795,0.0006410000000000027,True,,
10016686709,63,BRIGHTON 6AB           CB      500 KV,dayzer,521654,4672,DOUBS_500 KV_500-2:L500.Brighton-Doubs,0.333333,0.0,1.0,1.0,0.285714,0.0,0.0,,0.395238,0.316667,0.395238,0.395238,0.395238,0.0,True,,
10017109512,64,TURKEY HILL-HILGARD 138 KV L/O PRAIRIE STATE-MT VERNON 345 KV,dayzer,551131,10536,PRES_138 KV_PRE-TIBB:Prairie State-W Mt. Vernon 345,0.5,0.0,1.0,1.0,0.588235,0.0,0.0,,0.533824,0.4,0.533824,0.533824,0.533824,0.0,True,,
10016737063,65,SANDBURG XFMR 3 161/138 KV L/O OAK GROVE - SANDBURG 345 KV,dayzer,534567,9195,SANDBRG_161 KV_TR3:Oak Grove - Sandburg 345 kV,0.6,0.0,0.0,0.0,0.6,0.0,0.0,,0.45,0.3,0.45,0.45,0.422727,0.02727299999999999,True,,
10003951045,66,BIGPINET138 KV  BIG-KIS,dayzer,520902,4167,BIGPINET_138 KV_BIG-KIS:ACTUAL,0.571429,0.0,1.0,1.0,0.307692,0.25,0.0,,0.552198,0.460714,0.552198,0.552198,0.503571,0.048626999999999976,True,,
10003951045,66,BIGPINET138 KV  BIG-KIS,pano,733,732,BIGPINET 138KV - KISKIVAL 138KV (BIGPINET 138 KV BIG-KIS),0.5,1.0,1.0,1.0,0.8,0.545455,0.0,,0.742273,0.704545,0.742273,0.742273,0.742273,0.0,True,,
10002923086,67,CONASTON-PEACHBOT 5012 A 500 KV,dayzer,551548,10845,CONASTON_500 KV_CNS-PEA:500/230.Conastone.500-2,0.666667,0.0,1.0,1.0,0.666667,0.222222,0.0,,0.65,0.505556,0.65,0.65,0.633333,0.016666999999999987,True,,
10002508920,68,CHARLTSV 230 KV CHARLTSV-PROFITDP 2054B1,dayzer,519986,3389,CHARLTSV_230 KV_2054B1:ACTUAL,0.571429,0.0,1.0,1.0,0.4,0.0,0.0,,0.561429,0.435714,0.561429,0.561429,0.522222,0.03920699999999999,True,,
10016741629,69,MT.VERNON-W.SALEM 138 KV L/O XENIA-NEWTON 345 KV,dayzer,551303,10689,LAC N T3_138 KV_32291322:Prairie State-W Mt. Vernon 345,0.4,0.0,1.0,1.0,0.4,0.0,0.0,,0.45,0.35,0.45,0.45,0.45,0.0,True,,
10000826306,71,BAGLEY 230 KV BAGLEY -GRACETON BAG-GRA,dayzer,534131,8823,BAGLEY_230 KV_BAG-GRA:L230.Graceton-Bagley-RaphaelRoad.2313,0.8,0.0,1.0,1.0,0.615385,0.222222,0.0,,0.731538,0.572222,0.731538,0.731538,0.692045,0.039493,True,,
10018736423,72,ASHBURN-GOOSECRE 227D       B  230 KV,dayzer,520030,3425,ASHBURN_230 KV_TX1:ACTUAL,0.333333,0.0,1.0,1.0,0.222222,0.0,0.0,,0.388889,0.316667,0.388889,0.388889,0.385227,0.0036619999999999986,True,,
10018736423,72,ASHBURN-GOOSECRE 227D       B  230 KV,pano,321,320,GOOSECRE 230KV - ASHBURN 230KV (ASHBURN 230 KV ASH-GOOS),0.5,1.0,1.0,1.0,0.714286,0.545455,0.0,,0.737987,0.704545,0.737987,0.737987,0.691364,0.04662299999999997,True,,
10004218945,75,FREMNT-FREMONTC A 138 KV,dayzer,520974,4232,FREMNT_138 KV_FRE-FRE1:ACTUAL,0.75,0.0,1.0,1.0,0.5,0.0,0.0,,0.6875,0.525,0.6875,0.6875,0.644872,0.042628,True,,
10015858897,79,NEWCARLI138 KV  NEW-PLE,pano,17349,17348,NEWCARLI138 KV  NEW-TRA1,0.666667,0.0,1.0,1.0,0.444444,0.571429,0.0,,0.500794,0.540476,0.500794,0.500794,0.5,0.0007939999999999614,True,,
10002484779,81,CEDARSUB230 KV CED-WILF,dayzer,520060,3455,CEDARSUB_230 KV_CED-WILF:ACTUAL,0.571429,0.0,1.0,1.0,0.5,0.222222,0.0,,0.571429,0.457937,0.571429,0.571429,0.542045,0.029383999999999966,True,,
10000568987,82,GRABILL 138 KV GRABILL-ROBISONP,dayzer,519864,3291,GRABILL_138 KV_GRA-ROB1:ACTUAL,0.333333,0.0,1.0,1.0,0.222222,0.0,0.0,,0.388889,0.316667,0.388889,0.388889,0.385227,0.0036619999999999986,True,,
10000465753,83,MOUN UGI 230 KV MOUN UGI 3 XFORMER,dayzer,519310,2948,MOUN UGI_230 KV_2:ACTUAL,0.571429,0.0,1.0,1.0,0.75,0.571429,0.0,,0.596429,0.492857,0.596429,0.596429,0.596429,0.0,True,,
10000465753,83,MOUN UGI 230 KV MOUN UGI 3 XFORMER,pano,16516,16515,MOUN UGI230 KV  2,0.666667,0.0,1.0,1.0,0.5,0.75,0.0,,0.5125,0.558333,0.5125,0.5125,0.5125,0.0,True,,
10002484779,84,CEDARSUB230 KV CED-WILF,dayzer,520060,3455,CEDARSUB_230 KV_CED-WILF:ACTUAL,0.571429,0.0,1.0,1.0,0.4,0.25,0.0,,0.561429,0.460714,0.561429,0.561429,0.547403,0.014025999999999983,True,,
10002484779,84,CEDARSUB230 KV CED-WILF,pano,3363,3362,WILLIAM1 230KV - CEDARSUB 230KV (CEDARSUB 230 KV CED-WILF),0.5,1.0,1.0,1.0,0.714286,0.6,0.0,,0.740714,0.71,0.740714,0.740714,0.705556,0.03515800000000002,True,,
10016479158,85,HOPECREE230 KV  HOP-SIL,dayzer,520754,4032,HOPECREE_230 KV_HOP-SIL:ACTUAL,0.571429,0.0,1.0,1.0,0.4,0.25,0.0,,0.561429,0.460714,0.561429,0.561429,0.529545,0.03188399999999991,True,,
10016012721,86,MERIDIAN345 KV  MER-TWI1,dayzer,535180,9715,MERIDIAN_345 KV_MER-TWI1:L765.Dumont-Sorenson,0.444444,0.0,1.0,1.0,0.833333,0.0,0.0,,0.522222,0.372222,0.522222,0.522222,0.505556,0.01666599999999996,True,,
10003951045,87,BIGPINET138 KV  BIG-KIS,dayzer,520902,4167,BIGPINET_138 KV_BIG-KIS:ACTUAL,0.571429,0.0,1.0,1.0,0.4,0.285714,0.0,,0.561429,0.464286,0.561429,0.561429,0.522222,0.03920699999999999,True,,
10003951045,87,BIGPINET138 KV  BIG-KIS,pano,352,351,KISKIVAL 138KV - BIGPINET 138KV (BIGPINET 138 KV BIG-KIS),0.5,1.0,1.0,1.0,0.714286,0.6,0.0,,0.740714,0.71,0.740714,0.740714,0.695476,0.045238,True,,
