fold_name,horizon,model,bus_count,bus_mae_mean,bus_mae_median,std,min,max
validate_2022_2023_to_2024,next_week,zone_allocated_hgb,6,161.6410005323334,39.68543109037729,200.2750308786963,25.114095430939024,426.66361566412286
holdout_2022_2024_to_2025,next_day,baseline_historical_mean,5,65.14777290996933,34.50647484623352,58.671798197091945,5.98677514819498,141.36571121349527
holdout_2022_2024_to_2025,next_day,baseline_lag_168h,5,15.523416666666662,12.315166666666665,17.260825464707366,2.956958333333333,44.940999999999995
holdout_2022_2024_to_2025,next_day,direct_xgb_cyclical_kmeans,5,28.45413315327962,20.63609972127279,16.124706858341543,12.660196512858072,53.00662516276041
holdout_2022_2024_to_2025,next_day,research_lightgbm_cyclical_kmeans,5,35.7220862549634,14.949005614762896,45.42842013815921,9.52316352297282,116.49558407912605
holdout_2022_2024_to_2025,next_day,research_random_forest_cyclical_kmeans,5,33.28061673819011,7.216484878549768,42.79578995878395,6.50748938411104,105.20938048664304
holdout_2022_2024_to_2025,next_day,zone_allocated_hgb,5,91.90854232545216,50.88384275109993,81.29720985482828,9.766034011698896,199.7632717811865
holdout_2022_2024_to_2025,next_month,baseline_historical_mean,5,121.91833397819155,32.813736877557965,132.1841865326043,18.185942260671805,293.9536220067336
holdout_2022_2024_to_2025,next_month,baseline_lag_168h,5,39.90323214285714,23.970714285714287,33.25348804405576,13.115148809523811,87.40582142857143
holdout_2022_2024_to_2025,next_month,direct_xgb_cyclical_kmeans,5,212.31862450006955,31.25780788479056,249.05706273637884,29.592118799845377,502.46335245407266
holdout_2022_2024_to_2025,next_month,research_lightgbm_cyclical_kmeans,5,216.62520540277387,30.50721640400182,256.374769560602,28.53463942757513,517.179227977699
holdout_2022_2024_to_2025,next_month,research_random_forest_cyclical_kmeans,5,209.04558805813951,31.46496006140658,245.70357868489137,28.33729766110712,478.745983259352
holdout_2022_2024_to_2025,next_month,zone_allocated_hgb,5,145.34980032953632,44.015619176771985,158.37217664917026,18.818974321414423,363.0577138818739
holdout_2022_2024_to_2025,next_week,baseline_historical_mean,5,91.7713325526042,28.598786582700104,94.44696458187371,19.25426225894639,203.3383421054604
