fold_name,horizon,model,kmeans_cluster,rows,mae,wmape
holdout_2022_2024_to_2025,next_month,zone_allocated_hgb,2,744,265.75397361723054,0.38969319458765583
holdout_2022_2024_to_2025,next_week,baseline_historical_mean,0,504,75.63984469162016,0.23113457994377407
holdout_2022_2024_to_2025,next_week,baseline_historical_mean,1,168,28.598786582700104,0.17494201562498662
holdout_2022_2024_to_2025,next_week,baseline_historical_mean,2,168,203.33834210546038,0.34360794841885084
holdout_2022_2024_to_2025,next_week,baseline_lag_168h,0,504,29.379875,0.0897768245639709
holdout_2022_2024_to_2025,next_week,baseline_lag_168h,1,168,23.970714285714287,0.14663157337067684
holdout_2022_2024_to_2025,next_week,baseline_lag_168h,2,168,87.40582142857143,0.14770128776479954
holdout_2022_2024_to_2025,next_week,direct_xgb_cyclical_kmeans,0,504,150.74684591529484,0.4606409366721056
holdout_2022_2024_to_2025,next_week,direct_xgb_cyclical_kmeans,1,168,29.43782384527297,0.18007450156016824
holdout_2022_2024_to_2025,next_week,direct_xgb_cyclical_kmeans,2,168,334.2387592017764,0.5648078623156072
holdout_2022_2024_to_2025,next_week,research_lightgbm_cyclical_kmeans,0,504,158.2083293837149,0.48344117977495465
holdout_2022_2024_to_2025,next_week,research_lightgbm_cyclical_kmeans,1,168,27.98090998191546,0.17116239449888726
holdout_2022_2024_to_2025,next_week,research_lightgbm_cyclical_kmeans,2,168,352.91399683017215,0.5963659050402768
holdout_2022_2024_to_2025,next_week,research_random_forest_cyclical_kmeans,0,504,150.65658727429158,0.46036513106780225
holdout_2022_2024_to_2025,next_week,research_random_forest_cyclical_kmeans,1,168,28.551021294029088,0.17464982994595954
holdout_2022_2024_to_2025,next_week,research_random_forest_cyclical_kmeans,2,168,362.60056494373066,0.6127345926289316
holdout_2022_2024_to_2025,next_week,zone_allocated_hgb,0,504,113.74106444977899,0.3475614375087408
holdout_2022_2024_to_2025,next_week,zone_allocated_hgb,1,168,41.09304740494478,0.2513708237377754
holdout_2022_2024_to_2025,next_week,zone_allocated_hgb,2,168,203.51712575508122,0.34391006302459104
