bus_id,zone_name,timestamp,date,he,actual_pd,predicted_pd,model,horizon
CHEROKEE_138KV_1,COAS,2022-04-01 07:00:00,2022-04-01,8,91.405,50.677,baseline_lag_168h,next_day
CTZ_138KV_1,COAS,2022-04-01 07:00:00,2022-04-01,8,583.058,649.383,baseline_lag_168h,next_day
CVN_138KV_1,COAS,2022-04-01 07:00:00,2022-04-01,8,87.076,96.981,baseline_lag_168h,next_day
DOWGEN_138KV_16,COAS,2022-04-01 07:00:00,2022-04-01,8,173.448,193.178,baseline_lag_168h,next_day
DUN_138KV_1,COAS,2022-04-01 07:00:00,2022-04-01,8,82.244,91.6,baseline_lag_168h,next_day
FL_138KV_1,COAS,2022-04-01 07:00:00,2022-04-01,8,70.366,78.37,baseline_lag_168h,next_day
FZ_138KV_1,COAS,2022-04-01 07:00:00,2022-04-01,8,80.03,89.133,baseline_lag_168h,next_day
GN_138KV_1,COAS,2022-04-01 07:00:00,2022-04-01,8,110.129,122.656,baseline_lag_168h,next_day
HAT_138KV_1,COAS,2022-04-01 07:00:00,2022-04-01,8,77.11,85.882,baseline_lag_168h,next_day
MAR_138KV_1,COAS,2022-04-01 07:00:00,2022-04-01,8,64.225,71.531,baseline_lag_168h,next_day
RNG_138KV_1,COAS,2022-04-01 07:00:00,2022-04-01,8,80.533,89.694,baseline_lag_168h,next_day
SPW_138KV_1,COAS,2022-04-01 07:00:00,2022-04-01,8,93.619,104.269,baseline_lag_168h,next_day
WF_138KV_1,COAS,2022-04-01 07:00:00,2022-04-01,8,85.566,95.3,baseline_lag_168h,next_day
WIN_138KV_1,COAS,2022-04-01 07:00:00,2022-04-01,8,136.403,151.919,baseline_lag_168h,next_day
BI_138KV_1,COAS,2022-04-01 08:00:00,2022-04-01,9,80.532,88.079,baseline_lag_168h,next_day
CHEROKEE_138KV_1,COAS,2022-04-01 08:00:00,2022-04-01,9,91.276,49.751,baseline_lag_168h,next_day
CTZ_138KV_1,COAS,2022-04-01 08:00:00,2022-04-01,9,588.021,643.133,baseline_lag_168h,next_day
CVN_138KV_1,COAS,2022-04-01 08:00:00,2022-04-01,9,86.456,94.559,baseline_lag_168h,next_day
DOWGEN_138KV_16,COAS,2022-04-01 08:00:00,2022-04-01,9,172.812,189.008,baseline_lag_168h,next_day
DUN_138KV_1,COAS,2022-04-01 08:00:00,2022-04-01,9,82.64,90.386,baseline_lag_168h,next_day
FL_138KV_1,COAS,2022-04-01 08:00:00,2022-04-01,9,76.113,83.247,baseline_lag_168h,next_day
FZ_138KV_1,COAS,2022-04-01 08:00:00,2022-04-01,9,83.946,91.813,baseline_lag_168h,next_day
GN_138KV_1,COAS,2022-04-01 08:00:00,2022-04-01,9,113.066,123.663,baseline_lag_168h,next_day
HAT_138KV_1,COAS,2022-04-01 08:00:00,2022-04-01,9,76.515,83.686,baseline_lag_168h,next_day
MAR_138KV_1,COAS,2022-04-01 08:00:00,2022-04-01,9,69.386,75.889,baseline_lag_168h,next_day
RNG_138KV_1,COAS,2022-04-01 08:00:00,2022-04-01,9,81.737,89.397,baseline_lag_168h,next_day
SPW_138KV_1,COAS,2022-04-01 08:00:00,2022-04-01,9,96.096,105.102,baseline_lag_168h,next_day
WF_138KV_1,COAS,2022-04-01 08:00:00,2022-04-01,9,86.757,94.889,baseline_lag_168h,next_day
WIN_138KV_1,COAS,2022-04-01 08:00:00,2022-04-01,9,136.362,149.142,baseline_lag_168h,next_day
BI_138KV_1,COAS,2022-04-01 09:00:00,2022-04-01,10,85.394,90.936,baseline_lag_168h,next_day
CHEROKEE_138KV_1,COAS,2022-04-01 09:00:00,2022-04-01,10,93.055,49.384,baseline_lag_168h,next_day
CTZ_138KV_1,COAS,2022-04-01 09:00:00,2022-04-01,10,604.804,644.058,baseline_lag_168h,next_day
CVN_138KV_1,COAS,2022-04-01 09:00:00,2022-04-01,10,87.743,93.438,baseline_lag_168h,next_day
DOWGEN_138KV_16,COAS,2022-04-01 09:00:00,2022-04-01,10,175.895,187.311,baseline_lag_168h,next_day
DUN_138KV_1,COAS,2022-04-01 09:00:00,2022-04-01,10,84.168,89.631,baseline_lag_168h,next_day
FL_138KV_1,COAS,2022-04-01 09:00:00,2022-04-01,10,79.265,84.41,baseline_lag_168h,next_day
FZ_138KV_1,COAS,2022-04-01 09:00:00,2022-04-01,10,84.781,90.283,baseline_lag_168h,next_day
GN_138KV_1,COAS,2022-04-01 09:00:00,2022-04-01,10,118.387,126.07,baseline_lag_168h,next_day
HAT_138KV_1,COAS,2022-04-01 09:00:00,2022-04-01,10,77.528,82.56,baseline_lag_168h,next_day
