bus_id,zone_name,timestamp,date,he,actual_pd,predicted_pd,model,horizon
CTZ_138KV_1,COAS,2022-04-01 10:00:00,2022-04-01,11,629.868,644.65681410142,zone_allocated_hgb,next_day
CTZ_138KV_1,COAS,2022-04-01 11:00:00,2022-04-01,12,635.975,655.137620076313,zone_allocated_hgb,next_day
CTZ_138KV_1,COAS,2022-04-01 12:00:00,2022-04-01,13,643.43,668.653472253259,zone_allocated_hgb,next_day
CTZ_138KV_1,COAS,2022-04-01 13:00:00,2022-04-01,14,664.027,684.3734270457925,zone_allocated_hgb,next_day
CTZ_138KV_1,COAS,2022-04-01 14:00:00,2022-04-01,15,674.097,712.1308514364232,zone_allocated_hgb,next_day
CTZ_138KV_1,COAS,2022-04-01 15:00:00,2022-04-01,16,680.345,722.5901489571816,zone_allocated_hgb,next_day
CTZ_138KV_1,COAS,2022-04-01 16:00:00,2022-04-01,17,686.194,722.1040120117979,zone_allocated_hgb,next_day
CTZ_138KV_1,COAS,2022-04-01 17:00:00,2022-04-01,18,690.351,728.4399904517295,zone_allocated_hgb,next_day
CTZ_138KV_1,COAS,2022-04-01 18:00:00,2022-04-01,19,674.596,712.7368727628295,zone_allocated_hgb,next_day
CTZ_138KV_1,COAS,2022-04-01 19:00:00,2022-04-01,20,667.114,695.7794081370831,zone_allocated_hgb,next_day
CTZ_138KV_1,COAS,2022-04-01 20:00:00,2022-04-01,21,684.574,700.558639817002,zone_allocated_hgb,next_day
CTZ_138KV_1,COAS,2022-04-01 21:00:00,2022-04-01,22,695.152,707.9060167727453,zone_allocated_hgb,next_day
CTZ_138KV_1,COAS,2022-04-01 22:00:00,2022-04-01,23,700.2,689.4761321957432,zone_allocated_hgb,next_day
CTZ_138KV_1,COAS,2022-04-01 23:00:00,2022-04-01,24,706.398,689.1554621329085,zone_allocated_hgb,next_day
CVN_138KV_1,COAS,2022-04-01 00:00:00,2022-04-01,1,91.342,108.57868891536178,zone_allocated_hgb,next_day
CVN_138KV_1,COAS,2022-04-01 01:00:00,2022-04-01,2,91.008,108.32526231344677,zone_allocated_hgb,next_day
CVN_138KV_1,COAS,2022-04-01 02:00:00,2022-04-01,3,90.147,107.6653726074367,zone_allocated_hgb,next_day
CVN_138KV_1,COAS,2022-04-01 03:00:00,2022-04-01,4,88.576,106.95191919603239,zone_allocated_hgb,next_day
CVN_138KV_1,COAS,2022-04-01 04:00:00,2022-04-01,5,88.417,105.41034468809463,zone_allocated_hgb,next_day
CVN_138KV_1,COAS,2022-04-01 05:00:00,2022-04-01,6,87.669,104.37692156559126,zone_allocated_hgb,next_day
CVN_138KV_1,COAS,2022-04-01 06:00:00,2022-04-01,7,86.495,103.81199822928369,zone_allocated_hgb,next_day
CVN_138KV_1,COAS,2022-04-01 07:00:00,2022-04-01,8,87.076,103.52554158000223,zone_allocated_hgb,next_day
CVN_138KV_1,COAS,2022-04-01 08:00:00,2022-04-01,9,86.456,98.74587971720318,zone_allocated_hgb,next_day
CVN_138KV_1,COAS,2022-04-01 09:00:00,2022-04-01,10,87.743,102.94925985574982,zone_allocated_hgb,next_day
CVN_138KV_1,COAS,2022-04-01 10:00:00,2022-04-01,11,89.684,105.58341661874923,zone_allocated_hgb,next_day
CVN_138KV_1,COAS,2022-04-01 11:00:00,2022-04-01,12,90.673,107.70369049288439,zone_allocated_hgb,next_day
CVN_138KV_1,COAS,2022-04-01 12:00:00,2022-04-01,13,91.767,109.5098890433389,zone_allocated_hgb,next_day
CVN_138KV_1,COAS,2022-04-01 13:00:00,2022-04-01,14,92.208,111.30776977898701,zone_allocated_hgb,next_day
CVN_138KV_1,COAS,2022-04-01 14:00:00,2022-04-01,15,93.15,115.26306373956105,zone_allocated_hgb,next_day
CVN_138KV_1,COAS,2022-04-01 15:00:00,2022-04-01,16,94.758,116.98571888119463,zone_allocated_hgb,next_day
CVN_138KV_1,COAS,2022-04-01 16:00:00,2022-04-01,17,97.181,117.47772219412637,zone_allocated_hgb,next_day
CVN_138KV_1,COAS,2022-04-01 17:00:00,2022-04-01,18,98.396,120.20092304604539,zone_allocated_hgb,next_day
CVN_138KV_1,COAS,2022-04-01 18:00:00,2022-04-01,19,96.154,118.514348665121,zone_allocated_hgb,next_day
CVN_138KV_1,COAS,2022-04-01 19:00:00,2022-04-01,20,93.58,118.30643623605746,zone_allocated_hgb,next_day
CVN_138KV_1,COAS,2022-04-01 20:00:00,2022-04-01,21,94.505,117.08155151317544,zone_allocated_hgb,next_day
CVN_138KV_1,COAS,2022-04-01 21:00:00,2022-04-01,22,95.232,117.02680489228528,zone_allocated_hgb,next_day
CVN_138KV_1,COAS,2022-04-01 22:00:00,2022-04-01,23,96.695,114.27682685165622,zone_allocated_hgb,next_day
CVN_138KV_1,COAS,2022-04-01 23:00:00,2022-04-01,24,97.881,111.86640235085227,zone_allocated_hgb,next_day
DALTI_138KV_1,NCEN,2022-04-01 00:00:00,2022-04-01,1,83.414,96.58613368966188,zone_allocated_hgb,next_day
