bus_id,zone_name,timestamp,date,he,actual_pd,p10,p50,p90,interval_width,covered_p10_p90,peak_load_flag
DALTI_138KV_1,NCEN,2022-04-27 21:00:00,2022-04-27,22,88.157,83.30882995082312,95.686174006946,108.6800685648785,25.371238614055372,True,False
DALTI_138KV_1,NCEN,2022-04-27 22:00:00,2022-04-27,23,89.608,83.26216063852182,95.74119917576161,108.6800685648785,25.417907926356676,True,False
DALTI_138KV_1,NCEN,2022-04-27 23:00:00,2022-04-27,24,88.818,82.6936086849892,95.74119917576161,109.1106018163829,26.416993131393696,True,False
DALTI_138KV_1,NCEN,2022-04-28 00:00:00,2022-04-28,1,79.514,82.59577953260653,96.62651031885203,110.37915172360339,27.783372190996857,False,False
DALTI_138KV_1,NCEN,2022-04-28 01:00:00,2022-04-28,2,79.553,82.23278920621948,96.62651031885203,110.41654683067185,28.18375762445237,False,False
DALTI_138KV_1,NCEN,2022-04-28 02:00:00,2022-04-28,3,79.508,82.16904796969382,96.58567835708753,109.84821053139889,27.67916256170507,False,False
DALTI_138KV_1,NCEN,2022-04-28 03:00:00,2022-04-28,4,79.403,81.97332661520672,96.58567835708753,109.96787402993506,27.994547414728345,False,False
DALTI_138KV_1,NCEN,2022-04-28 04:00:00,2022-04-28,5,78.309,81.92191356003738,96.58567835708753,110.27513128557372,28.35321772553634,False,False
DALTI_138KV_1,NCEN,2022-04-28 05:00:00,2022-04-28,6,77.871,81.92191356003738,96.58567835708753,110.27513128557372,28.35321772553634,False,False
DALTI_138KV_1,NCEN,2022-04-28 06:00:00,2022-04-28,7,78.676,82.20913000486347,97.2101843038746,110.27513128557372,28.066001280710253,False,False
DALTI_138KV_1,NCEN,2022-04-28 07:00:00,2022-04-28,8,79.348,82.06822331491969,96.81074327691182,110.27513128557372,28.20690797065403,False,False
DALTI_138KV_1,NCEN,2022-04-28 08:00:00,2022-04-28,9,81.327,82.42499932131415,97.23868221912285,110.04967208316917,27.624672761855024,False,False
DALTI_138KV_1,NCEN,2022-04-28 09:00:00,2022-04-28,10,82.266,82.95513324371574,96.87299515133469,109.76586963842065,26.810736394704918,False,False
DALTI_138KV_1,NCEN,2022-04-28 10:00:00,2022-04-28,11,82.391,83.00356988531045,96.87299515133469,109.64620613988448,26.64263625457403,False,False
DALTI_138KV_1,NCEN,2022-04-28 11:00:00,2022-04-28,12,83.041,83.0676083865104,96.84674259249623,110.21454243915744,27.14693405264704,False,False
DALTI_138KV_1,NCEN,2022-04-28 12:00:00,2022-04-28,13,84.195,83.57150540284123,97.31326814006196,110.21454243915744,26.643037036316215,True,False
DALTI_138KV_1,NCEN,2022-04-28 13:00:00,2022-04-28,14,83.87,83.5690823083052,96.84674259249623,110.08396842654652,26.51488611824132,True,False
DALTI_138KV_1,NCEN,2022-04-28 14:00:00,2022-04-28,15,83.54,83.95162450857309,97.2786294835265,110.04047998037314,26.088855471800045,False,False
DALTI_138KV_1,NCEN,2022-04-28 15:00:00,2022-04-28,16,84.318,83.9645719006137,97.22360431471093,109.47449667504634,25.509924774432633,True,False
DALTI_138KV_1,NCEN,2022-04-28 16:00:00,2022-04-28,17,85.202,83.87010852371417,97.12589316086758,109.47449667504634,25.604388151332174,True,False
DALTI_138KV_1,NCEN,2022-04-28 17:00:00,2022-04-28,18,86.965,83.84667046772257,97.16447976622229,109.47449667504634,25.627826207323764,True,False
DALTI_138KV_1,NCEN,2022-04-28 18:00:00,2022-04-28,19,89.966,83.84667046772257,97.16447976622229,109.47449667504634,25.627826207323764,True,False
DALTI_138KV_1,NCEN,2022-04-28 19:00:00,2022-04-28,20,93.58,83.58271400664825,97.16447976622229,109.47449667504634,25.891782668398093,True,False
DALTI_138KV_1,NCEN,2022-04-28 20:00:00,2022-04-28,21,95.143,83.67070247644477,96.94030829200831,109.47449667504634,25.803794198601565,True,False
DALTI_138KV_1,NCEN,2022-04-28 21:00:00,2022-04-28,22,97.161,83.67070247644477,96.94030829200831,109.47449667504634,25.803794198601565,True,False
DALTI_138KV_1,NCEN,2022-04-28 22:00:00,2022-04-28,23,98.753,83.5284870810485,96.99220613488968,109.47449667504634,25.946009593997843,True,False
DALTI_138KV_1,NCEN,2022-04-28 23:00:00,2022-04-28,24,98.627,82.95993512751588,97.02684479142515,109.77540533852824,26.815470211012368,True,False
DALTI_138KV_1,NCEN,2022-04-29 00:00:00,2022-04-29,1,88.18,83.07797370250661,97.1576463053952,109.48797809681923,26.410004394312622,True,False
DALTI_138KV_1,NCEN,2022-04-29 01:00:00,2022-04-29,2,88.142,82.71498337611956,97.1576463053952,109.5253732038877,26.810389827768134,True,False
DALTI_138KV_1,NCEN,2022-04-29 02:00:00,2022-04-29,3,88.038,82.6512421395939,97.11681434363071,109.38447628721316,26.733234147619257,True,False
DALTI_138KV_1,NCEN,2022-04-29 03:00:00,2022-04-29,4,87.494,82.4555207851068,97.11681434363071,109.50413978574933,27.04861900064253,True,False
DALTI_138KV_1,NCEN,2022-04-29 04:00:00,2022-04-29,5,86.66,82.40410772993746,97.11681434363071,109.81139704138799,27.407289311450526,True,False
DALTI_138KV_1,NCEN,2022-04-29 05:00:00,2022-04-29,6,86.857,82.40410772993746,97.11681434363071,109.81139704138799,27.407289311450526,True,False
DALTI_138KV_1,NCEN,2022-04-29 06:00:00,2022-04-29,7,86.632,82.55041748481977,97.34098581784465,109.81139704138799,27.260979556568216,True,False
DALTI_138KV_1,NCEN,2022-04-29 07:00:00,2022-04-29,8,86.647,82.57848395465967,97.40807033844762,109.81139704138799,27.232913086728317,True,False
DALTI_138KV_1,NCEN,2022-04-29 08:00:00,2022-04-29,9,87.628,82.76628680127045,97.3694837330929,109.58593783898344,26.819651037712987,True,False
DALTI_138KV_1,NCEN,2022-04-29 09:00:00,2022-04-29,10,87.46,83.35178686146456,97.33952069890043,109.36557953445151,26.013792672986952,True,False
DALTI_138KV_1,NCEN,2022-04-29 10:00:00,2022-04-29,11,89.283,83.40022350305928,97.33952069890043,109.28917572292387,25.888952219864592,True,False
DALTI_138KV_1,NCEN,2022-04-29 11:00:00,2022-04-29,12,90.4,83.46426200425923,97.31326814006196,109.43007263959841,25.96581063533918,True,False
DALTI_138KV_1,NCEN,2022-04-29 12:00:00,2022-04-29,13,91.2,83.82725233064627,97.31326814006196,109.43007263959841,25.602820308952133,True,False
DALTI_138KV_1,NCEN,2022-04-29 13:00:00,2022-04-29,14,91.439,83.96573592605402,97.31326814006196,109.31040915198457,25.34467322593055,True,False
DALTI_138KV_1,NCEN,2022-04-29 14:00:00,2022-04-29,15,91.652,84.20737143637814,97.2786294835265,109.26692070581119,25.05954926943305,True,False
DALTI_138KV_1,NCEN,2022-04-29 15:00:00,2022-04-29,16,90.429,84.22031882841875,97.22360431471093,108.32451053846825,24.10419171004949,True,False
DALTI_138KV_1,NCEN,2022-04-29 16:00:00,2022-04-29,17,90.729,84.0175322224122,97.12589316086758,108.32451053846825,24.306978316056046,True,False
DALTI_138KV_1,NCEN,2022-04-29 17:00:00,2022-04-29,18,90.358,83.99409416642061,97.16447976622229,108.32451053846825,24.330416372047637,True,False
DALTI_138KV_1,NCEN,2022-04-29 18:00:00,2022-04-29,19,91.382,83.73013770534628,97.16447976622229,108.32451053846825,24.594372833121966,True,False
DALTI_138KV_1,NCEN,2022-04-29 19:00:00,2022-04-29,20,94.01,83.73013770534628,97.16447976622229,108.32451053846825,24.594372833121966,True,False
DALTI_138KV_1,NCEN,2022-04-29 20:00:00,2022-04-29,21,94.858,83.81812617514281,96.94030829200831,108.32822961991637,24.510103444773563,True,False
DALTI_138KV_1,NCEN,2022-04-29 21:00:00,2022-04-29,22,96.962,83.81812617514281,96.94030829200831,108.29800349538164,24.479877320238828,True,False
DALTI_138KV_1,NCEN,2022-04-29 22:00:00,2022-04-29,23,101.018,83.65204601618925,96.99220613488968,108.24711180716679,24.595065790977543,True,False
DALTI_138KV_1,NCEN,2022-04-29 23:00:00,2022-04-29,24,102.721,83.08349406265663,97.02684479142515,108.81774350543972,25.734249442783096,True,False
DALTI_138KV_1,NCEN,2022-04-30 00:00:00,2022-04-30,1,105.611,81.76344033629002,97.06933682819678,110.28485733771765,28.521417001427636,True,False
DALTI_138KV_1,NCEN,2022-04-30 01:00:00,2022-04-30,2,105.031,81.40045000990297,97.06933682819678,110.32225244478612,28.921802434883148,True,False
DALTI_138KV_1,NCEN,2022-04-30 02:00:00,2022-04-30,3,104.033,81.33670877337731,96.94228116264378,110.18135552811158,28.84464675473427,True,False
DALTI_138KV_1,NCEN,2022-04-30 03:00:00,2022-04-30,4,103.961,81.33670877337731,96.94228116264378,110.18135552811158,28.84464675473427,True,False
DALTI_138KV_1,NCEN,2022-04-30 04:00:00,2022-04-30,5,104.08,80.83402206685805,96.94228116264378,110.42516864353365,29.591146576675598,True,False
DALTI_138KV_1,NCEN,2022-04-30 05:00:00,2022-04-30,6,103.604,80.8069452938981,96.94228116264378,110.42516864353365,29.618223349635556,True,False
DALTI_138KV_1,NCEN,2022-04-30 06:00:00,2022-04-30,7,102.597,80.82694463444477,97.19184738299458,110.54483214206982,29.71788750762505,True,False
DALTI_138KV_1,NCEN,2022-04-30 07:00:00,2022-04-30,8,102.183,80.82694463444477,97.25893190359754,110.60827628228641,29.78133164784164,True,False
