bus_id,zone_name,timestamp,date,he,actual_pd,predicted_pd,model,run_name,forecast_horizon
CVN_138KV_1,COAS,2022-04-01 12:00:00,2022-04-01,13,91.767,90.20627248749732,next_day_lightgbm,next_day_lightgbm,next_day
DOWGEN_138KV_16,COAS,2022-04-01 12:00:00,2022-04-01,13,182.582,179.4544319965885,next_day_lightgbm,next_day_lightgbm,next_day
GN_138KV_1,COAS,2022-04-01 12:00:00,2022-04-01,13,125.532,115.3564561270941,next_day_lightgbm,next_day_lightgbm,next_day
HAT_138KV_1,COAS,2022-04-01 12:00:00,2022-04-01,13,77.267,78.59559066941908,next_day_lightgbm,next_day_lightgbm,next_day
RNG_138KV_1,COAS,2022-04-01 12:00:00,2022-04-01,13,86.264,85.03097769684601,next_day_lightgbm,next_day_lightgbm,next_day
SPW_138KV_1,COAS,2022-04-01 12:00:00,2022-04-01,13,101.188,100.50091472645542,next_day_lightgbm,next_day_lightgbm,next_day
WIN_138KV_1,COAS,2022-04-01 12:00:00,2022-04-01,13,146.172,131.84967142998224,next_day_lightgbm,next_day_lightgbm,next_day
CHEROKEE_138KV_1,COAS,2022-04-01 13:00:00,2022-04-01,14,98.505,85.10054413555791,next_day_lightgbm,next_day_lightgbm,next_day
CTZ_138KV_1,COAS,2022-04-01 13:00:00,2022-04-01,14,664.027,650.2477977388721,next_day_lightgbm,next_day_lightgbm,next_day
CVN_138KV_1,COAS,2022-04-01 13:00:00,2022-04-01,14,92.208,90.93967161908199,next_day_lightgbm,next_day_lightgbm,next_day
DOWGEN_138KV_16,COAS,2022-04-01 13:00:00,2022-04-01,14,183.989,180.75753410849276,next_day_lightgbm,next_day_lightgbm,next_day
GN_138KV_1,COAS,2022-04-01 13:00:00,2022-04-01,14,126.679,116.08985525867878,next_day_lightgbm,next_day_lightgbm,next_day
HAT_138KV_1,COAS,2022-04-01 13:00:00,2022-04-01,14,77.48,79.11942850094668,next_day_lightgbm,next_day_lightgbm,next_day
RNG_138KV_1,COAS,2022-04-01 13:00:00,2022-04-01,14,87.299,86.13481388074194,next_day_lightgbm,next_day_lightgbm,next_day
SPW_138KV_1,COAS,2022-04-01 13:00:00,2022-04-01,14,104.588,101.82870849517363,next_day_lightgbm,next_day_lightgbm,next_day
WIN_138KV_1,COAS,2022-04-01 13:00:00,2022-04-01,14,147.704,133.91298459468484,next_day_lightgbm,next_day_lightgbm,next_day
CHEROKEE_138KV_1,COAS,2022-04-01 14:00:00,2022-04-01,15,97.581,86.83727671374568,next_day_lightgbm,next_day_lightgbm,next_day
CTZ_138KV_1,COAS,2022-04-01 14:00:00,2022-04-01,15,674.097,663.1069188706972,next_day_lightgbm,next_day_lightgbm,next_day
