date,pd
2022-09-15,1225126.947
2022-09-16,1293786.726
2022-09-17,1312256.914
2022-09-18,1317183.012
2022-09-19,1364325.199
2022-09-20,1372897.9239999999
2022-09-21,1354493.735
2022-09-22,1328150.17
2022-09-23,1331112.898
2022-09-24,1294117.161
2022-09-25,1278226.197
2022-09-26,1222916.672
2022-09-27,1121071.4070000001
2022-09-28,1125423.398
2022-09-29,1099476.942
2022-09-30,1061558.242
2022-10-01,1008410.713
2022-10-02,999020.268
2022-10-03,1053227.606
2022-10-04,1067977.945
2022-10-05,1090139.761
2022-10-06,1111186.369
2022-10-07,1083032.149
2022-10-08,1034668.528
2022-10-09,1026404.5599999999
2022-10-10,1097749.792
2022-10-11,1112676.514
2022-10-12,1224201.052
2022-10-13,1132873.47
2022-10-14,1102051.931
2022-10-15,1175173.575
2022-10-16,1112786.024
2022-10-17,994402.846
2022-10-18,907150.66
2022-10-19,917155.404
2022-10-20,958003.897
2022-10-21,1018114.78
2022-10-22,1047805.49
2022-10-23,1091693.14
2022-10-24,1108533.32
2022-10-25,941551.491
2022-10-26,941540.349
2022-10-27,956815.848
2022-10-28,959186.986
2022-10-29,884879.121
2022-10-30,896552.61
2022-10-31,946169.424
2022-11-01,947040.854
2022-11-02,980239.041
2022-11-03,1067979.127
2022-11-04,1096823.368
2022-11-05,926835.253
2022-11-06,980430.71
2022-11-07,1088045.987
2022-11-08,1082305.76
2022-11-09,1081759.284
2022-11-10,1044294.716
2022-11-11,1007684.426
2022-11-12,971158.817
2022-11-13,997702.488
2022-11-14,1052513.83
2022-11-15,1079442.506
2022-11-16,1078642.054
2022-11-17,1056342.679
2022-11-18,1068034.028
2022-11-19,1144229.003
2022-11-20,1127223.052
2022-11-21,1138514.437
2022-11-22,1066917.433
2022-11-23,1001991.455
2022-11-24,923399.606
2022-11-25,930679.381
2022-11-26,940014.264
2022-11-27,950209.596
2022-11-28,1007743.38
2022-11-29,1012107.754
2022-11-30,1035134.519
2022-12-01,1050469.416
2022-12-02,1015081.288
2022-12-03,975517.837
2022-12-04,966895.357
2022-12-05,1011698.375
2022-12-06,1010082.152
2022-12-07,1017426.776
2022-12-08,1034139.455
2022-12-09,1019062.536
2022-12-10,982613.915
2022-12-11,953182.923
2022-12-12,960508.121
2022-12-13,1025029.241
2022-12-14,982612.758
2022-12-15,1045784.008
2022-12-16,1096267.706
2022-12-17,1076258.786
2022-12-18,1112013.345
2022-12-19,1121762.44
2022-12-20,1109069.483
2022-12-21,1174340.779
2022-12-22,1383671.966
2022-12-23,1648055.767
2022-12-24,1409175.352
2022-12-25,1230327.103
2022-12-26,1145568.429
2022-12-27,1178772.929
2022-12-28,1049795.096
2022-12-29,928043.078
2022-12-30,931613.919
2022-12-31,930168.6359999999
2023-01-01,897890.257
2023-01-02,968954.8
2023-01-03,960030.782
2023-01-04,978609.174
2023-01-05,1005680.5920000001
2023-01-06,1009473.902
2023-01-07,932145.002
2023-01-08,926624.216
