zone_name,zone_pd,date,he,bus_sum_pd,abs_diff_pd,pct_diff
COAS,13259.889,2022-01-01,13,13259.894,0.005000000001018634,3.770770630899425e-07
EAST,1633.433,2022-01-01,13,1633.425,0.008000000000038199,4.897660326464691e-06
FWES,3889.246,2022-01-01,13,3889.259,0.012999999999919964,3.342550201226655e-06
ISOLATED,0.0,2022-01-01,13,,,
NCEN,11072.694,2022-01-01,13,11072.726,0.03200000000106229,2.8899922639478966e-06
NOTH,966.416,2022-01-01,13,966.414,0.002000000000066393,2.069502160628956e-06
SCEN,6844.376,2022-01-01,13,6844.377,0.0010000000002037268,1.4610535718723324e-07
SOUT,3821.01,2022-01-01,13,3821.007,0.003000000000156433,7.851327267283867e-07
WEST,1410.94,2022-01-01,13,1410.944,0.0039999999999054126,2.8349894395972987e-06
COAS,13699.774,2022-01-01,14,13699.774,0.0,0.0
EAST,1648.321,2022-01-01,14,1648.319,0.0019999999999527063,1.2133558936352242e-06
FWES,3925.262,2022-01-01,14,3925.252,0.010000000000218279,2.5476006442928597e-06
ISOLATED,0.0,2022-01-01,14,,,
NCEN,11184.897,2022-01-01,14,11184.895,0.0020000000004074536,1.788125541439902e-07
NOTH,996.409,2022-01-01,14,996.411,0.0019999999999527063,2.007207883462219e-06
SCEN,6846.99,2022-01-01,14,6846.982,0.007999999999810825,1.1683966238903263e-06
SOUT,4107.769,2022-01-01,14,4107.757,0.012000000000625732,2.921293773000802e-06
WEST,1341.65,2022-01-01,14,1341.666,0.015999999999849024,1.1925613982669863e-05
COAS,13965.406,2022-01-01,15,13965.393,0.01300000000082946,9.308716123848786e-07
EAST,1566.444,2022-01-01,15,1566.444,0.0,0.0
FWES,3877.08,2022-01-01,15,3877.077,0.0029999999997016857,7.737782041386007e-07
ISOLATED,0.0,2022-01-01,15,,,
NCEN,10954.898,2022-01-01,15,10954.885,0.01299999999901047,1.1866838010733162e-06
NOTH,1039.573,2022-01-01,15,1039.569,0.004000000000132786,3.847733636918991e-06
SCEN,6890.54,2022-01-01,15,6890.549,0.009000000000014552,1.3061385609857212e-06
SOUT,4293.625,2022-01-01,15,4293.626,0.0010000000002037268,2.3290343246178387e-07
WEST,1417.91,2022-01-01,15,1417.922,0.011999999999943611,8.463160567274093e-06
COAS,13926.512,2022-01-01,16,13926.51,0.0020000000004074536,1.4361097742259178e-07
EAST,1544.074,2022-01-01,16,1544.063,0.010999999999967258,7.124010895829642e-06
FWES,3845.551,2022-01-01,16,3845.557,0.005999999999858119,1.5602445526943001e-06
ISOLATED,0.0,2022-01-01,16,,,
NCEN,10754.656,2022-01-01,16,10754.638,0.018000000000029104,1.673693700665935e-06
NOTH,1103.868,2022-01-01,16,1103.867,0.0009999999999763531,9.059054162058808e-07
SCEN,6934.688,2022-01-01,16,6934.707,0.01900000000023283,2.7398492910182593e-06
SOUT,4373.305,2022-01-01,16,4373.312,0.006999999999607098,1.600620125878963e-06
WEST,1486.18,2022-01-01,16,1486.186,0.005999999999858119,4.037196032686564e-06
COAS,13591.287,2022-01-01,17,13591.284,0.0030000000006111804,2.2072964838511469e-07
EAST,1501.765,2022-01-01,17,1501.763,0.00200000000018008,1.3317662884539724e-06
FWES,3839.189,2022-01-01,17,3839.204,0.015000000000327418,3.907075166220631e-06
ISOLATED,0.0,2022-01-01,17,,,
NCEN,11147.512,2022-01-01,17,11147.534,0.02199999999902502,1.973534542867056e-06
NOTH,1173.944,2022-01-01,17,1173.944,0.0,0.0
SCEN,6971.311,2022-01-01,17,6971.314,0.0030000000006111804,4.303351264362156e-07
SOUT,4314.697,2022-01-01,17,4314.707,0.010000000000218279,2.3176598496298298e-06
WEST,1553.58,2022-01-01,17,1553.581,0.0009999999999763531,6.436746095961284e-07
COAS,13299.477,2022-01-01,18,13299.464,0.01300000000082946,9.774820469127814e-07
EAST,1482.321,2022-01-01,18,1482.315,0.005999999999858119,4.04770626595597e-06
FWES,3885.792,2022-01-01,18,3885.804,0.012000000000170985,3.088173530691037e-06
ISOLATED,0.0,2022-01-01,18,,,
NCEN,12091.401,2022-01-01,18,12091.415,0.014000000001033186,1.1578476308107875e-06
NOTH,1266.13,2022-01-01,18,1266.128,0.00200000000018008,1.5796166271868448e-06
SCEN,7013.032,2022-01-01,18,7013.029,0.0029999999997016857,4.277750336376172e-07
SOUT,4091.397,2022-01-01,18,4091.397,0.0,0.0
WEST,1573.93,2022-01-01,18,1573.942,0.011999999999943611,7.624227252764488e-06
COAS,13240.771,2022-01-01,19,13240.768,0.0030000000006111804,2.265729088291898e-07
EAST,1541.369,2022-01-01,19,1541.37,0.0009999999999763531,6.487739146021187e-07
